"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",280.5,216.53,337.75
"1951-01-01 00:00:00",263.36,214.29,296.18
"1952-01-01 00:00:00",267.42,225.36,321.2
"1953-01-01 00:00:00",266.63,225.63,383.29
"1954-01-01 00:00:00",272.49,214.8,333.1
"1955-01-01 00:00:00",278.21,225.95,377.68
"1956-01-01 00:00:00",283.78,212.76,329.28
"1957-01-01 00:00:00",266.09,201.35,317.55
"1958-01-01 00:00:00",290.25,222.46,342.05
"1959-01-01 00:00:00",277.12,210.05,333.27
"1960-01-01 00:00:00",280.11,226.23,325.1
"1961-01-01 00:00:00",266.97,185.07,346.8
"1962-01-01 00:00:00",306.68,217.05,372.56
"1963-01-01 00:00:00",243.31,199.98,332.26
"1964-01-01 00:00:00",254.58,228.61,307.25
"1965-01-01 00:00:00",260.85,200.41,325.92
"1966-01-01 00:00:00",261.35,214.57,343.86
"1967-01-01 00:00:00",272.98,213.56,328.56
"1968-01-01 00:00:00",273.05,227.38,341.09
"1969-01-01 00:00:00",266.55,199.2,328.04
"1970-01-01 00:00:00",242.85,196.55,299.04
"1971-01-01 00:00:00",269.36,212.99,324.19
"1972-01-01 00:00:00",285.29,233.38,323.29
"1973-01-01 00:00:00",289.77,233.48,342.56
"1974-01-01 00:00:00",274.98,213.52,318.85
"1975-01-01 00:00:00",277.52,180.8,319.65
"1976-01-01 00:00:00",264.18,212.06,346.7
"1977-01-01 00:00:00",278.24,222.57,332.74
"1978-01-01 00:00:00",273.11,217.43,335.99
"1979-01-01 00:00:00",277.59,226.43,330.35
"1980-01-01 00:00:00",262.82,202.61,361.58
"1981-01-01 00:00:00",292.07,225.47,328.25
"1982-01-01 00:00:00",264.88,202.08,307.42
"1983-01-01 00:00:00",280.38,215.17,374.13
"1984-01-01 00:00:00",242.38,194,327.48
"1985-01-01 00:00:00",285.51,224.2,372.92
"1986-01-01 00:00:00",283.98,205.21,315.07
"1987-01-01 00:00:00",254.96,206.26,367.23
"1988-01-01 00:00:00",271.36,210.8,326.26
"1989-01-01 00:00:00",289.68,219.21,352.86
"1990-01-01 00:00:00",286.15,214.2,383.9
"1991-01-01 00:00:00",271.03,239.1,310.26
"1992-01-01 00:00:00",247.33,215.8,326.74
"1993-01-01 00:00:00",264.65,209.19,335.25
"1994-01-01 00:00:00",282.17,228.18,333.15
"1995-01-01 00:00:00",281.42,253.41,345.15
"1996-01-01 00:00:00",284.45,222.68,384.51
"1997-01-01 00:00:00",297.87,217.43,353.73
"1998-01-01 00:00:00",282.24,250.77,331.1
"1999-01-01 00:00:00",292.95,232.88,360.67
"2000-01-01 00:00:00",273.45,230.61,360.33
"2001-01-01 00:00:00",283.1,220.78,332.66
"2002-01-01 00:00:00",291.31,251.99,356.23
"2003-01-01 00:00:00",283.48,234.22,328.2
"2004-01-01 00:00:00",289.01,238.38,349.72
"2005-01-01 00:00:00",273.83,221.52,327.12,273.83,221.52,327.12,274.1,224.54,329.83,273.22,224.59,325.66
"2006-01-01 00:00:00",,,,287.73,213.97,348.48,292.17,252.49,328.7,297.09,242.21,348.08
"2007-01-01 00:00:00",,,,280.87,229.74,341.23,283.32,241.95,334.01,295.26,206.31,339.51
"2008-01-01 00:00:00",,,,285.03,231.6,342.92,319.83,222.2,385.5,280.81,235.25,349.97
