"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",330.12,245.91,385.74
"1951-01-01 00:00:00",304.47,251.05,370.02
"1952-01-01 00:00:00",300.91,250.68,350.85
"1953-01-01 00:00:00",282.97,234.43,368.65
"1954-01-01 00:00:00",340.39,255.85,416.05
"1955-01-01 00:00:00",306.05,248.34,441.28
"1956-01-01 00:00:00",302.94,246.21,359.79
"1957-01-01 00:00:00",289.73,228.04,347.83
"1958-01-01 00:00:00",299.49,215.27,360.33
"1959-01-01 00:00:00",294.84,255.8,376.91
"1960-01-01 00:00:00",300.23,261.86,354.54
"1961-01-01 00:00:00",320.69,220.07,380.31
"1962-01-01 00:00:00",318.73,228.4,404.01
"1963-01-01 00:00:00",293.66,250.09,398.1
"1964-01-01 00:00:00",290.49,228.86,336
"1965-01-01 00:00:00",273.94,245.75,337.65
"1966-01-01 00:00:00",278.5,240.27,344.54
"1967-01-01 00:00:00",305.59,241.13,379.71
"1968-01-01 00:00:00",266.87,232.3,377.8
"1969-01-01 00:00:00",288.46,235.31,364.46
"1970-01-01 00:00:00",284.09,232.47,366.69
"1971-01-01 00:00:00",296.83,222.84,392.29
"1972-01-01 00:00:00",312.39,230.43,349.25
"1973-01-01 00:00:00",306.38,262.21,378.76
"1974-01-01 00:00:00",297.54,248.37,349.9
"1975-01-01 00:00:00",316.3,241.55,398.08
"1976-01-01 00:00:00",297.67,249.09,337.66
"1977-01-01 00:00:00",297.24,233.25,345.08
"1978-01-01 00:00:00",296.77,238.93,430.92
"1979-01-01 00:00:00",296.39,239.94,345
"1980-01-01 00:00:00",301.77,233.73,364.23
"1981-01-01 00:00:00",312.25,257.99,379.54
"1982-01-01 00:00:00",296.17,259.46,349.35
"1983-01-01 00:00:00",329.02,241.3,371.15
"1984-01-01 00:00:00",273.42,231.25,350.4
"1985-01-01 00:00:00",329.22,246.95,401.05
"1986-01-01 00:00:00",305.49,262.35,352.16
"1987-01-01 00:00:00",313.7,249.95,397.53
"1988-01-01 00:00:00",287.56,222.75,354.19
"1989-01-01 00:00:00",301.08,230.62,423.43
"1990-01-01 00:00:00",310.04,246.11,415.08
"1991-01-01 00:00:00",300.48,262.44,358.23
"1992-01-01 00:00:00",295.26,245.23,376.47
"1993-01-01 00:00:00",299.61,265.76,394.29
"1994-01-01 00:00:00",302.3,253.21,357.25
"1995-01-01 00:00:00",295.51,232.06,387.89
"1996-01-01 00:00:00",312.99,251.74,388.16
"1997-01-01 00:00:00",318.26,265.77,400.48
"1998-01-01 00:00:00",339,242.46,417.64
"1999-01-01 00:00:00",321.13,250.22,385.79
"2000-01-01 00:00:00",310.99,248.25,384.36
"2001-01-01 00:00:00",306.9,235.45,390.41
"2002-01-01 00:00:00",318.93,275.33,420.28
"2003-01-01 00:00:00",303.16,269.72,356.15
"2004-01-01 00:00:00",331.71,242.52,417.92
"2005-01-01 00:00:00",308.35,264.05,383.75,308.35,264.05,383.75,308.02,263.7,388.04,307.29,264,387.57
"2006-01-01 00:00:00",,,,295.66,244.42,387.81,311.5,266.29,386.43,334.33,274.44,389.77
"2007-01-01 00:00:00",,,,295.33,261.5,377.02,305.27,263.89,379.6,340.74,266.9,405.96
"2008-01-01 00:00:00",,,,307.28,256.99,377.48,304.18,241.06,353.22,306.37,262.47,380.29
"2009-01-01 00:00:00",,,,316.98,254.88,409.26,319.51,264.84,384.92,350.41,274.05,416.07
"2010-01-01 00:00:00",,,,310.63,258.11,394.68,327.48,264.04,413.34,293.14,247.74,362.69
"2011-01-01 00:00:00",,,,296.02,244.3,432.18,301.26,261.9,393.01,320.59,273.78,394.84
"2012-01-01 00:00:00",,,,353.91,291.91,431.27,333.36,257.11,382.12,316.38,271.92,392.83
"2013-01-01 00:00:00",,,,319.45,263.98,381.89,326.98,268.56,388.75,301.92,251.11,354.73
"2014-01-01 00:00:00",,,,307.6,247.93,368.64,340.6,289.78,440.17,318.69,252.29,390.65
"2015-01-01 00:00:00",,,,333.81,244.59,438.65,324.42,249.89,403.29,315.46,239.93,450.44
"2016-01-01 00:00:00",,,,328.35,293.33,425.51,315.38,264.12,387.97,336.61,289.19,402.22
"2017-01-01 00:00:00",,,,355.77,298.54,443.85,330.13,268.11,408.6,323.03,279.54,409.03
"2018-01-01 00:00:00",,,,319.72,268.2,420.76,335.38,240.86,369.79,348.86,264.85,394.21
"2019-01-01 00:00:00",,,,316.04,259,412,350.67,293.26,429.44,346.43,251.52,409.85
"2020-01-01 00:00:00",,,,315.96,257.05,356.68,297.76,258.72,384.12,323.44,242.48,404.63
"2021-01-01 00:00:00",,,,328.99,263.12,431.39,322.41,264.82,405.16,342.67,285.73,419.42
"2022-01-01 00:00:00",,,,317.03,248.96,377.91,310.15,237.03,374.54,328.75,257.02,411.98
"2023-01-01 00:00:00",,,,349.17,299.57,398.7,325.4,246.88,429.18,334.38,261.1,436.03
"2024-01-01 00:00:00",,,,345.1,302.38,389.77,321.61,288.63,397.17,309.63,278.9,440.39
"2025-01-01 00:00:00",,,,332.15,274.48,425.34,324.98,284.95,391.55,325.89,257.31,409.17
"2026-01-01 00:00:00",,,,327.85,296.08,394.52,305.95,237.5,385.32,341.53,273.17,379.55
"2027-01-01 00:00:00",,,,340.33,243.61,415.87,336.51,255.26,430.32,345.41,256.42,427.67
"2028-01-01 00:00:00",,,,339.74,310.51,386.49,312.64,262.53,436.31,339.16,262.62,386.16
"2029-01-01 00:00:00",,,,337.74,274.82,401.3,322.64,271.97,388.41,329.36,271.94,391.54
"2030-01-01 00:00:00",,,,321.11,254.24,408.02,338.81,267.85,431.21,337.73,279.62,405.59
"2031-01-01 00:00:00",,,,336.15,268.37,416.22,337.87,259.53,392.18,349.42,275.27,412.19
"2032-01-01 00:00:00",,,,313.47,258.9,401.2,329.34,253.59,448.2,342.76,291.25,424.06
"2033-01-01 00:00:00",,,,325.11,261.33,422.4,325.97,278.32,435.3,344.46,283.39,414.29
"2034-01-01 00:00:00",,,,340.74,305.07,399.25,367.9,261.1,430.67,354.81,295.17,447.02
"2035-01-01 00:00:00",,,,356.03,278.63,386.17,332.12,255.96,388,363.75,276.15,433.24
"2036-01-01 00:00:00",,,,343.65,252.06,413.3,320.83,289.56,447.75,352.79,266.51,432.76
"2037-01-01 00:00:00",,,,338.97,274.52,425.39,331.15,272.48,413.74,378.56,288.94,412.55
"2038-01-01 00:00:00",,,,369.67,292.61,450.16,350.35,278.48,434.53,359.71,304.44,435
"2039-01-01 00:00:00",,,,334.31,288.85,389.81,357.81,304.93,431.27,337.98,283.95,418.61
"2040-01-01 00:00:00",,,,316.68,262.77,425.76,309.77,276.32,422.02,325.29,274.06,401.07
"2041-01-01 00:00:00",,,,332.28,289.44,409.78,370.97,310.26,411.35,343.42,272.8,409.65
"2042-01-01 00:00:00",,,,377.38,279.33,433.72,356,286.5,441.25,318.46,260.2,455.27
"2043-01-01 00:00:00",,,,364.5,284.72,397.16,340.55,289.02,397.69,325.98,277.24,362.48
"2044-01-01 00:00:00",,,,309.5,259.9,436.4,344.45,261.11,452.27,345.23,289.2,413.09
"2045-01-01 00:00:00",,,,329.12,259.98,466.2,352.34,286.77,436.97,382.1,312.28,443.18
"2046-01-01 00:00:00",,,,382.94,279.76,457.54,339.75,270.35,432.31,345.24,299.06,444.22
"2047-01-01 00:00:00",,,,333.67,274.07,386.38,335.54,275.57,398.85,362.05,303.92,466.52
"2048-01-01 00:00:00",,,,342.31,264.12,436.29,321.73,272.24,407.3,348.92,278.47,405.77
"2049-01-01 00:00:00",,,,350.11,280.19,449.84,321.08,273.29,392.48,352.93,235.11,463.51
"2050-01-01 00:00:00",,,,387.06,278.3,458.54,367.99,265.76,451.19,334.21,287.08,429.34
"2051-01-01 00:00:00",,,,344.17,302.9,476.17,367.31,307.47,446.12,387.44,293.69,473.11
"2052-01-01 00:00:00",,,,362.84,277.13,448.01,376.87,306.46,451.23,386.92,284.75,452.75
"2053-01-01 00:00:00",,,,342.31,278.72,430.18,360.48,300.83,442.13,363.61,307.04,430.47
"2054-01-01 00:00:00",,,,330.86,262.16,432.75,353.74,310.81,440.88,336.31,261.79,394.78
"2055-01-01 00:00:00",,,,339.33,301.49,447.45,373.18,309.65,423.27,357.87,294.06,445.73
"2056-01-01 00:00:00",,,,337.28,277.74,435.38,337.92,270.22,424.08,355.94,270.4,458.47
"2057-01-01 00:00:00",,,,328.94,279.71,391.11,354.76,308.65,426.55,379.76,317.34,448.03
"2058-01-01 00:00:00",,,,319.59,245.6,399.72,371.72,255.13,470.21,381.48,284.77,444.4
"2059-01-01 00:00:00",,,,342.92,278.59,398.64,357.91,305.94,445.79,402.35,327.86,475.26
"2060-01-01 00:00:00",,,,368.09,273.28,454.22,369.36,255.3,487.78,381.42,314.68,445.3
"2061-01-01 00:00:00",,,,352.22,289.96,427.81,340.53,297.05,458.27,362.97,291.9,495.26
"2062-01-01 00:00:00",,,,324.53,261.38,424.29,373.41,308.76,446.7,375.14,281.89,421.5
"2063-01-01 00:00:00",,,,356.42,280.11,472.84,339.34,294,477.21,386.54,291.23,498.84
"2064-01-01 00:00:00",,,,359.26,310.67,462.18,350.8,291.45,425.77,365.22,289.55,459.61
"2065-01-01 00:00:00",,,,346.73,280.22,416.36,355.79,304.23,417.11,375.78,313.79,538.65
"2066-01-01 00:00:00",,,,347.09,293.91,440.62,349.98,276.19,436.4,390.75,318.84,556.5
"2067-01-01 00:00:00",,,,339.11,291.57,429.43,344.4,294.16,433.04,400.97,325.71,472.23
"2068-01-01 00:00:00",,,,345.34,293.35,402.89,368.5,299.02,448.03,390.55,332.76,499.31
"2069-01-01 00:00:00",,,,343.79,304.73,418.38,387.99,300.68,484.12,418.44,344.53,466.35
"2070-01-01 00:00:00",,,,328.96,274.81,396.87,345.36,274.78,449.08,364.09,312.58,451.99
"2071-01-01 00:00:00",,,,366.61,262.35,443.17,342.67,293.94,409.57,363.2,307.47,435.15
"2072-01-01 00:00:00",,,,316.57,263.7,382.66,366.08,293.71,445.18,384.92,344.03,482.11
"2073-01-01 00:00:00",,,,346.44,311.32,449.88,355.67,286.74,439.77,417.99,321.77,452.02
"2074-01-01 00:00:00",,,,342.48,288.93,385.95,359.79,288.99,432.09,373.2,330.99,516.09
"2075-01-01 00:00:00",,,,327.21,261.18,483.04,363.55,297.71,498.13,427.18,346.3,491.09
"2076-01-01 00:00:00",,,,368,323.73,452.56,349.53,290.13,435.77,429.44,318.06,531.67
"2077-01-01 00:00:00",,,,356.92,284.09,445.83,337.97,279.4,442.03,413.94,336.77,503.19
"2078-01-01 00:00:00",,,,326.65,245.57,389.37,366.05,306.2,426.78,419.15,325.77,498.97
"2079-01-01 00:00:00",,,,338.48,281.71,421.6,381.06,302.35,449.11,389.76,339.45,453.1
"2080-01-01 00:00:00",,,,332.95,286.87,419,402.35,294.95,492.39,435.8,315.91,499.35
"2081-01-01 00:00:00",,,,366.47,267.01,453.3,377.94,294.42,471.19,428.04,357.19,515.71
"2082-01-01 00:00:00",,,,364.46,285.63,412.8,365.44,289.02,509.07,401.57,308.62,530.9
"2083-01-01 00:00:00",,,,326.01,268.87,403.25,385.01,323.29,420.49,423.68,325.67,485.73
"2084-01-01 00:00:00",,,,357.81,299.9,420.34,367.98,282.02,487.14,413.75,312.51,499.06
"2085-01-01 00:00:00",,,,325.29,270.83,422.49,360.04,284.57,409.78,416.95,344.06,505.64
"2086-01-01 00:00:00",,,,351.91,279.71,417.36,353.96,294.23,434.21,405.58,358.33,622.59
"2087-01-01 00:00:00",,,,351.61,282.24,450.77,353.47,298.67,475.41,434.36,355.73,524.61
"2088-01-01 00:00:00",,,,340.74,297.14,435.74,338.53,279.35,489.55,416.89,331.89,522.53
"2089-01-01 00:00:00",,,,352.6,254.55,412.11,362.18,297.14,428.86,408.3,338.03,489.14
"2090-01-01 00:00:00",,,,329.15,275.76,380.4,384.33,294.49,472.81,418.08,341.27,510.93
"2091-01-01 00:00:00",,,,333.27,260.82,415.6,379.67,324.59,496.64,399.69,319.44,492.75
"2092-01-01 00:00:00",,,,347.59,299.5,393.73,389.39,323.57,471.44,423.83,313.34,523.52
"2093-01-01 00:00:00",,,,372.88,279.22,464.11,365.98,301.65,468.43,465.49,332.62,523.25
"2094-01-01 00:00:00",,,,315.97,275.16,404.46,352.56,295.93,431.54,429.51,367.94,608.48
"2095-01-01 00:00:00",,,,341.82,273.96,391.03,365.83,298.59,413.73,432.53,326.96,518.81
"2096-01-01 00:00:00",,,,329.84,268.17,427.92,388.44,293.43,445.05,412.81,294.51,553.87
"2097-01-01 00:00:00",,,,359.86,318.26,440.04,365.43,316.02,399.12,453.5,373.47,552.2
"2098-01-01 00:00:00",,,,335.14,287.89,425.38,372.26,270.06,441.53,437.45,351.67,517.98
"2099-01-01 00:00:00",,,,330.4,254.31,419.09,398.52,267.94,464.68,406.93,353.8,543.6
"2100-01-01 00:00:00",,,,356.51,302.3,474.06,368.38,287.93,454.78,430.42,322.81,551.1
