"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",340.47,259.15,408.97
"1951-01-01 00:00:00",340.06,274.05,395.29
"1952-01-01 00:00:00",326.54,271.16,395.47
"1953-01-01 00:00:00",340.1,288.99,405.58
"1954-01-01 00:00:00",324.31,255.17,386.14
"1955-01-01 00:00:00",329.72,280.18,413.83
"1956-01-01 00:00:00",354.52,304.66,393.54
"1957-01-01 00:00:00",338.53,277.81,378.32
"1958-01-01 00:00:00",355.38,284.16,424.46
"1959-01-01 00:00:00",333.62,268.45,414.6
"1960-01-01 00:00:00",320.34,269.19,367.13
"1961-01-01 00:00:00",323.05,255.52,393.89
"1962-01-01 00:00:00",332.43,268.5,404.68
"1963-01-01 00:00:00",329.29,275.94,383.42
"1964-01-01 00:00:00",340.99,286.7,367.75
"1965-01-01 00:00:00",318.71,265.47,372.68
"1966-01-01 00:00:00",327.91,267.03,386.18
"1967-01-01 00:00:00",332.31,295.68,367.77
"1968-01-01 00:00:00",314.69,268.75,393.72
"1969-01-01 00:00:00",325.33,259.33,388.75
"1970-01-01 00:00:00",322.52,277.17,403.32
"1971-01-01 00:00:00",355.98,283.03,423.78
"1972-01-01 00:00:00",317.5,245.43,384.63
"1973-01-01 00:00:00",326.1,271.9,392.57
"1974-01-01 00:00:00",333.01,297.38,383.74
"1975-01-01 00:00:00",345.44,267.24,399.43
"1976-01-01 00:00:00",335.16,294.97,398.36
"1977-01-01 00:00:00",332.28,291.31,391.08
"1978-01-01 00:00:00",337.06,272.52,405.6
"1979-01-01 00:00:00",339.74,284.83,386.06
"1980-01-01 00:00:00",332.39,293.5,384.58
"1981-01-01 00:00:00",329.65,273.63,385.66
"1982-01-01 00:00:00",344.97,292.18,399.6
"1983-01-01 00:00:00",320.46,270.04,397.88
"1984-01-01 00:00:00",327.53,264.71,382.09
"1985-01-01 00:00:00",355.2,288.77,398.34
"1986-01-01 00:00:00",323.8,259.45,363.09
"1987-01-01 00:00:00",304.97,269.78,341.53
"1988-01-01 00:00:00",336.12,280.92,408.06
"1989-01-01 00:00:00",346.54,268.92,389.32
"1990-01-01 00:00:00",332.03,280.98,384.21
"1991-01-01 00:00:00",349.45,297.47,405.5
"1992-01-01 00:00:00",320.55,269.42,369.91
"1993-01-01 00:00:00",323.35,266.04,384.39
"1994-01-01 00:00:00",314.27,275.52,399.66
"1995-01-01 00:00:00",329,279.75,380.77
"1996-01-01 00:00:00",340.21,296.84,405.79
"1997-01-01 00:00:00",345.47,283.2,399.48
"1998-01-01 00:00:00",345.89,303.2,404.99
"1999-01-01 00:00:00",343.68,288.8,403.72
"2000-01-01 00:00:00",360.1,301.53,425.56
"2001-01-01 00:00:00",353.37,283.72,418.79
"2002-01-01 00:00:00",342.84,288.86,418.13
"2003-01-01 00:00:00",345.43,278.66,418.94
"2004-01-01 00:00:00",370.88,293.11,412.82
"2005-01-01 00:00:00",361.59,306.78,427.76,361.59,306.78,427.76,360.51,307.53,425.63,360.67,308.98,425.1
"2006-01-01 00:00:00",,,,369.57,298.01,431.21,343.81,276.21,417.76,327.96,297.36,412.19
"2007-01-01 00:00:00",,,,350.58,292.44,415.49,355.18,312.32,422.92,368.98,278.4,426.34
"2008-01-01 00:00:00",,,,356.78,295.42,393.84,362.08,307.06,423.69,347.16,290.5,461.95
"2009-01-01 00:00:00",,,,368.05,312.64,422.83,375.33,295.94,443.7,360.31,296.1,399.51
"2010-01-01 00:00:00",,,,342.6,280.69,394.73,348.01,283.5,416.98,334.91,271.17,409.23
"2011-01-01 00:00:00",,,,359.6,295.57,434.76,331.73,277.72,403.3,367.93,289.2,438.03
