"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",415.38,300.29,485.16
"1951-01-01 00:00:00",427.07,295.82,592.06
"1952-01-01 00:00:00",419.32,323.12,558.67
"1953-01-01 00:00:00",411.58,315.63,553.44
"1954-01-01 00:00:00",440.57,332.41,595.72
"1955-01-01 00:00:00",421.33,302.03,548.99
"1956-01-01 00:00:00",413.69,312.4,479.95
"1957-01-01 00:00:00",412.41,361.29,556.38
"1958-01-01 00:00:00",482.8,295.67,565.6
"1959-01-01 00:00:00",468.17,348.46,630.37
"1960-01-01 00:00:00",487.2,365.14,662.11
"1961-01-01 00:00:00",465.65,346.64,631.18
"1962-01-01 00:00:00",459.54,364.49,530.81
"1963-01-01 00:00:00",404.71,320.12,641.95
"1964-01-01 00:00:00",469.43,350.23,567.5
"1965-01-01 00:00:00",437.51,359.83,603.5
"1966-01-01 00:00:00",485.44,289.68,582.75
"1967-01-01 00:00:00",434.95,320.49,583.66
"1968-01-01 00:00:00",421.92,306.73,522.83
"1969-01-01 00:00:00",462.99,306.64,617.52
"1970-01-01 00:00:00",460.68,368.23,543.65
"1971-01-01 00:00:00",460.19,319.53,535.8
"1972-01-01 00:00:00",431.81,347,550.5
"1973-01-01 00:00:00",426.62,372.46,622.33
"1974-01-01 00:00:00",449.63,364.66,591.5
"1975-01-01 00:00:00",408.77,336.22,495.68
"1976-01-01 00:00:00",437.35,343.2,539.1
"1977-01-01 00:00:00",415.01,315.48,512
"1978-01-01 00:00:00",394.69,341.8,492.68
"1979-01-01 00:00:00",441.51,353.54,539.98
"1980-01-01 00:00:00",452.55,337.11,580.55
"1981-01-01 00:00:00",403.58,329.15,567.18
"1982-01-01 00:00:00",494.1,382.27,609.99
"1983-01-01 00:00:00",476.39,342.12,553.84
"1984-01-01 00:00:00",443.28,342.78,515.19
"1985-01-01 00:00:00",398.64,290.97,515.44
"1986-01-01 00:00:00",414.45,319.02,493.7
"1987-01-01 00:00:00",431.39,312.61,640.3
"1988-01-01 00:00:00",451.59,334.27,563.34
"1989-01-01 00:00:00",401.63,302.97,558.13
"1990-01-01 00:00:00",449.19,355.59,588.28
"1991-01-01 00:00:00",474.45,337.55,621.05
"1992-01-01 00:00:00",487.33,298.02,597.83
"1993-01-01 00:00:00",436.03,362.33,550.15
"1994-01-01 00:00:00",410.49,329.94,518.21
"1995-01-01 00:00:00",424.61,328.51,594.67
"1996-01-01 00:00:00",406.2,349.66,562.93
"1997-01-01 00:00:00",427.51,301.34,501.84
"1998-01-01 00:00:00",384.96,310.38,549.08
"1999-01-01 00:00:00",468.49,351.92,557.68
"2000-01-01 00:00:00",481.21,320.33,580.41
"2001-01-01 00:00:00",463.61,326.09,613.37
"2002-01-01 00:00:00",456.11,368.2,607.51
"2003-01-01 00:00:00",460.04,344.45,567
"2004-01-01 00:00:00",441.63,367.69,514.4
"2005-01-01 00:00:00",488.43,358.65,683.09,488.43,358.65,683.09,492.93,360.51,690.45,493.17,358.95,698.01
"2006-01-01 00:00:00",,,,533.4,378.22,720.82,474.48,381.42,584.95,442.92,363.38,529.7
"2007-01-01 00:00:00",,,,499.39,321.91,621.92,449.64,333.32,577.79,464.59,383.59,608.7
"2008-01-01 00:00:00",,,,474.02,375,673.17,427.12,329.11,635.53,475.41,354.68,636.54
"2009-01-01 00:00:00",,,,451.77,309.27,552.6,462.64,318.72,586.39,498.84,396.4,625.48
"2010-01-01 00:00:00",,,,517.01,396.96,642.65,490.26,349.93,558.1,417.23,299.95,566.55
"2011-01-01 00:00:00",,,,470.9,364.55,600.98,436.19,373.72,492.48,455,303.73,600.7
"2012-01-01 00:00:00",,,,446.4,353.88,597.7,472.48,294.38,537.22,485.84,331.81,588.34
"2013-01-01 00:00:00",,,,457.88,337.82,660.92,460.2,326.8,605.88,442.7,353.17,619.14
"2014-01-01 00:00:00",,,,497,400.76,624.79,430.01,327.9,557.19,447.06,367.49,537.47
"2015-01-01 00:00:00",,,,412.45,347.64,638.85,448.15,313.64,543.84,468.67,324.79,546.06
"2016-01-01 00:00:00",,,,464.19,373.08,696.57,508.89,375.67,622.78,473.45,353,638.64
"2017-01-01 00:00:00",,,,452.76,368.03,564.82,440.24,334.99,525.43,447.07,345.39,622.65
"2018-01-01 00:00:00",,,,481.47,373.94,568.9,403.07,350.45,493.94,408.02,325.45,559.49
"2019-01-01 00:00:00",,,,468.61,356.45,646.32,437.74,337.27,552.12,444.44,295.98,589.51
"2020-01-01 00:00:00",,,,423.65,358.17,517.09,456.43,333.99,567.45,413.73,348.12,521.94
"2021-01-01 00:00:00",,,,516.05,379.32,692.04,470.2,404.73,607.38,468.81,348.4,586.85
"2022-01-01 00:00:00",,,,481.26,356.19,625.68,447.28,374.6,645.71,461.57,339.16,575.76
"2023-01-01 00:00:00",,,,481.84,369.29,639.35,509.44,421.56,629.86,431.74,320.41,540.6
"2024-01-01 00:00:00",,,,413.88,338.14,577.61,478.7,381.06,624.7,458.31,338.05,551.71
"2025-01-01 00:00:00",,,,457.74,350.46,590.49,445.77,318.27,609.43,520.11,352.05,618.4
"2026-01-01 00:00:00",,,,436.89,341.97,604.85,483.46,335.27,595.79,466.26,338.19,603.06
"2027-01-01 00:00:00",,,,482.18,352.57,633.8,490.11,400.66,579.75,468.63,388.09,551.89
"2028-01-01 00:00:00",,,,480.53,328.48,652.69,502.1,413.8,638.84,474.64,368.21,569.98
"2029-01-01 00:00:00",,,,425.43,328.56,582.92,523.89,330.29,592.59,469.79,390.84,582.13
"2030-01-01 00:00:00",,,,428.46,303.76,545.34,478.37,398.31,609.81,464.24,306.62,560.63
"2031-01-01 00:00:00",,,,480.32,387.75,638.45,458.14,357.82,622.16,524.21,427.62,618.09
"2032-01-01 00:00:00",,,,474.86,355.41,647.6,521.84,387.5,755.56,417.92,304.49,579.11
"2033-01-01 00:00:00",,,,491.23,319.82,595.06,413.93,340.33,564.59,458.59,369.15,655.77
"2034-01-01 00:00:00",,,,414.77,339.96,487.54,476.58,327.47,559.22,428.83,360.35,596.42
"2035-01-01 00:00:00",,,,494.96,339.84,546,486.35,393.01,552.07,464.64,391.08,567.38
"2036-01-01 00:00:00",,,,455.63,325.47,618.12,467.2,337,597.29,449.7,354.65,696.59
"2037-01-01 00:00:00",,,,473.87,372.41,560.12,442.42,325.97,568.78,500.62,387.86,602.69
"2038-01-01 00:00:00",,,,508.74,369.03,593.33,503.79,378.9,650.53,421.66,332.64,589.97
"2039-01-01 00:00:00",,,,449.13,393.07,595.86,489.24,386.89,611.85,452.71,367,534.84
"2040-01-01 00:00:00",,,,469.6,329.86,554.22,516.7,317.78,676.74,505.63,331.49,598.6
"2041-01-01 00:00:00",,,,442.82,316.49,583.32,444.95,350.89,517.05,448.84,359.04,665.5
"2042-01-01 00:00:00",,,,449.34,383.93,631.25,478.06,355.4,619.16,496.85,360.16,584.06
"2043-01-01 00:00:00",,,,461.64,340.8,734.61,452.53,313.28,551.21,495.9,350.04,619.36
"2044-01-01 00:00:00",,,,471.4,380.79,654.9,457.47,362.62,675.9,514.27,432.3,620.19
"2045-01-01 00:00:00",,,,444.6,391.79,586.71,478.65,332.76,657.02,469.87,333.33,577.45
"2046-01-01 00:00:00",,,,466.66,362.99,666.31,461.99,369.78,606.26,462.38,366.83,598.7
"2047-01-01 00:00:00",,,,443.34,356.56,592.08,462.06,371.49,610,448.19,376.72,570.88
