"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",259.11,214.26,323.22
"1951-01-01 00:00:00",256.9,230.59,306.4
"1952-01-01 00:00:00",247.59,196.06,283.69
"1953-01-01 00:00:00",246.81,222.91,322.79
"1954-01-01 00:00:00",241.49,199.89,284.01
"1955-01-01 00:00:00",253.14,203.81,326.76
"1956-01-01 00:00:00",283.96,200.31,308.61
"1957-01-01 00:00:00",257.58,190.81,307.01
"1958-01-01 00:00:00",252.73,203.95,303.94
"1959-01-01 00:00:00",239.13,195.04,300.21
"1960-01-01 00:00:00",249.07,214.55,277.31
"1961-01-01 00:00:00",243.01,200.13,300.81
"1962-01-01 00:00:00",258.33,182.5,311.77
"1963-01-01 00:00:00",226.17,199.25,319.82
"1964-01-01 00:00:00",245.87,202.91,300.39
"1965-01-01 00:00:00",240.08,204.11,290.07
"1966-01-01 00:00:00",244.39,216.31,295.78
"1967-01-01 00:00:00",250.61,209.9,295.16
"1968-01-01 00:00:00",253.07,213.41,288.15
"1969-01-01 00:00:00",254.25,192.43,297.74
"1970-01-01 00:00:00",262.55,203.58,306.78
"1971-01-01 00:00:00",248.61,207.31,281.43
"1972-01-01 00:00:00",256.64,209.86,316.5
"1973-01-01 00:00:00",235.3,195.54,290.93
"1974-01-01 00:00:00",247.64,216.86,300.69
"1975-01-01 00:00:00",266.66,210.7,307.36
"1976-01-01 00:00:00",251.65,195.44,304.72
"1977-01-01 00:00:00",246.16,199.95,308.5
"1978-01-01 00:00:00",246.89,204.3,290.93
"1979-01-01 00:00:00",249.61,205.92,296.98
"1980-01-01 00:00:00",253.28,212.81,296.18
"1981-01-01 00:00:00",249.18,214.87,295.02
"1982-01-01 00:00:00",250.34,212.16,308.6
"1983-01-01 00:00:00",243.95,223.51,297.58
"1984-01-01 00:00:00",247.02,201.57,287.59
"1985-01-01 00:00:00",255.77,214.16,305.49
"1986-01-01 00:00:00",259.42,210.05,292.4
"1987-01-01 00:00:00",255.27,206.04,307.13
"1988-01-01 00:00:00",239.58,199.62,292.62
"1989-01-01 00:00:00",242.65,214.75,319.28
"1990-01-01 00:00:00",263.82,207.94,318.69
"1991-01-01 00:00:00",270.7,206.92,341.06
"1992-01-01 00:00:00",250.8,210.1,299.19
"1993-01-01 00:00:00",244.17,193.75,314.46
"1994-01-01 00:00:00",257.03,226.61,315.26
"1995-01-01 00:00:00",266.47,240.52,313.64
"1996-01-01 00:00:00",263.35,201.29,318.21
"1997-01-01 00:00:00",249.4,211.73,315.91
"1998-01-01 00:00:00",256.88,209.44,327.5
"1999-01-01 00:00:00",264.73,209.69,308.24
"2000-01-01 00:00:00",263.01,209.02,296.43
"2001-01-01 00:00:00",273.23,209.64,311.66
"2002-01-01 00:00:00",263.32,218.49,317.57
"2003-01-01 00:00:00",257.57,217.47,289.63
"2004-01-01 00:00:00",256.45,214.72,328.54
"2005-01-01 00:00:00",255.86,212.97,313.7,255.86,212.97,313.7,257.17,212.26,316.38,255.94,212.32,313.11
"2006-01-01 00:00:00",,,,259.77,211.2,314.04,282.28,226.93,304.86,273.1,202.22,322.07
"2007-01-01 00:00:00",,,,249.7,214.46,291.28,246.56,214.31,325.33,267.44,204.06,344.34
"2008-01-01 00:00:00",,,,272.86,226.44,314.98,255.73,206.48,328.19,285.43,236.69,362.43
"2009-01-01 00:00:00",,,,246.88,205.83,308.83,253.32,226.74,314.35,235.58,207.05,313.78
"2010-01-01 00:00:00",,,,250.62,204.19,296.25,256.99,212.85,334.91,260.19,232.35,309.14
"2011-01-01 00:00:00",,,,271.67,229.65,326.9,262.43,231.29,312.47,273.62,215.23,316.82
"2012-01-01 00:00:00",,,,260.65,201.34,311.7,282.39,240.27,328.55,274.04,245.8,304.48
"2013-01-01 00:00:00",,,,270.11,233.4,315.56,267.16,228.69,308.49,265.88,193.4,297.14
"2014-01-01 00:00:00",,,,246.83,210.82,301.26,278.05,229.82,316.88,270.97,220.6,308.6
"2015-01-01 00:00:00",,,,263.86,203.38,320.01,267.99,223.38,323.43,252.89,212.73,309.54
"2016-01-01 00:00:00",,,,262.13,217.5,335.09,272.44,193.53,318.31,291.42,225.1,346.42
"2017-01-01 00:00:00",,,,268.33,228.13,332.1,268.55,211.43,305.58,274.79,219.19,328.14
"2018-01-01 00:00:00",,,,274.12,232.07,342.17,269.01,227.07,326.05,260.29,215.91,325.42
"2019-01-01 00:00:00",,,,261.65,205.62,342.19,263.47,217.06,351.62,267.26,198.71,352.52
"2020-01-01 00:00:00",,,,266.82,243.64,322.25,268.45,224.46,335.97,276.8,212.92,353.78
"2021-01-01 00:00:00",,,,276.48,262.2,339.17,281.5,245.6,344.73,265.22,222.98,313.6
"2022-01-01 00:00:00",,,,278.55,237.58,329.46,275.93,208.53,395.16,271.27,204.44,308.26
"2023-01-01 00:00:00",,,,276.37,221.71,325.14,275.52,200.12,342.99,270.28,227.37,320.97
"2024-01-01 00:00:00",,,,269.36,221.63,343.73,272.61,216.77,333.87,254.37,216.15,306.7
"2025-01-01 00:00:00",,,,270.64,229.21,327.73,273.22,235.67,349.07,272.08,219.07,341.06
"2026-01-01 00:00:00",,,,277.32,219.26,327.53,272.65,223.26,320.1,270.46,200.94,341.46
"2027-01-01 00:00:00",,,,270.3,239.53,325.5,278.06,232.53,331.93,279.8,249.2,318.69
"2028-01-01 00:00:00",,,,270.19,224.43,334.33,259.92,232.96,305.7,275.37,236.02,325.91
"2029-01-01 00:00:00",,,,281.29,228.51,345.45,281.43,222.98,362.13,273.69,226.58,343.86
"2030-01-01 00:00:00",,,,289.74,231.32,369.33,279.91,207.21,333.22,280.59,244.63,352.27
"2031-01-01 00:00:00",,,,255.51,224.86,342.49,286.35,244.82,333.63,296.49,220.32,367.24
"2032-01-01 00:00:00",,,,299.75,246.26,350.12,283.85,234.7,323.8,299.88,227.05,371.38
"2033-01-01 00:00:00",,,,280.13,238.3,318.84,267.18,234.85,291.46,285.09,203.78,366.45
"2034-01-01 00:00:00",,,,285.27,245.36,335.74,278.74,231.66,325.15,291.04,219.37,337.44
"2035-01-01 00:00:00",,,,276.16,225.11,341.77,281.31,240.73,348.06,299.55,230.37,367.03
"2036-01-01 00:00:00",,,,291.26,239.22,324.89,287.9,217.13,311.78,288.88,248.16,365.72
"2037-01-01 00:00:00",,,,271.83,232,349.32,290.68,220.61,329.55,294.83,241.61,355.39
"2038-01-01 00:00:00",,,,291.18,212.16,337.36,295,247.16,336.66,278.66,238.91,355.45
"2039-01-01 00:00:00",,,,268.17,225.09,338.11,287.51,246.78,330.61,278.72,255.15,387.6
"2040-01-01 00:00:00",,,,289.16,256.43,340.67,282.87,228.12,351.67,292.45,232.34,368.42
"2041-01-01 00:00:00",,,,281.71,203.8,333.57,307.44,245.25,357.52,287.17,236.87,338.02
"2042-01-01 00:00:00",,,,287.24,248.04,340.47,284.22,226.58,332.44,294.07,258.73,340.11
"2043-01-01 00:00:00",,,,293.4,230.74,343.37,283.89,235.85,351.02,305.64,249.58,361.34
"2044-01-01 00:00:00",,,,295.98,256.72,342.53,272.01,216.86,333.97,281.12,221.49,309.37
"2045-01-01 00:00:00",,,,291.62,227.8,340.14,290.54,234.96,344.69,281.1,224.86,340.69
"2046-01-01 00:00:00",,,,281.65,242.67,322.74,288.45,247.32,314.48,289.02,231.71,343.7
"2047-01-01 00:00:00",,,,285.32,244.61,368.39,280.81,239.24,352.86,321.89,258.17,398.49
"2048-01-01 00:00:00",,,,295.22,229.77,337.56,307.33,247.92,342.6,285.8,246.23,350.75
"2049-01-01 00:00:00",,,,288.13,236.43,357.66,296.66,237.89,369.74,294.96,245.97,351.13
"2050-01-01 00:00:00",,,,284,226.55,323.62,281.07,239.57,351.24,291.94,228.92,370.8
