"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",440.63,326.02,501.56
"1951-01-01 00:00:00",418.28,329.12,508.15
"1952-01-01 00:00:00",441.85,370.79,520.19
"1953-01-01 00:00:00",433.17,360.14,518.86
"1954-01-01 00:00:00",456.03,402.03,533.9
"1955-01-01 00:00:00",449.41,359.71,495.59
"1956-01-01 00:00:00",449.16,390.89,515.51
"1957-01-01 00:00:00",422.74,318.51,499.35
"1958-01-01 00:00:00",421.48,355.99,490.27
"1959-01-01 00:00:00",431.39,361.61,491.77
"1960-01-01 00:00:00",424.19,362.13,516.04
"1961-01-01 00:00:00",409.58,305.36,485.33
"1962-01-01 00:00:00",440.59,366.6,519.47
"1963-01-01 00:00:00",424.39,321.94,516.46
"1964-01-01 00:00:00",407.22,316.78,485.28
"1965-01-01 00:00:00",423.72,352.66,498.91
"1966-01-01 00:00:00",399.99,339.1,465.52
"1967-01-01 00:00:00",399.06,313.33,493.58
"1968-01-01 00:00:00",423.21,364.34,530
"1969-01-01 00:00:00",387.28,342.98,476.05
"1970-01-01 00:00:00",418.86,363.56,478.97
"1971-01-01 00:00:00",437.71,360.27,533.6
"1972-01-01 00:00:00",459.15,376.78,570.02
"1973-01-01 00:00:00",412.41,373.64,509.83
"1974-01-01 00:00:00",424.21,340.88,522.54
"1975-01-01 00:00:00",439.52,337.96,501.27
"1976-01-01 00:00:00",409.73,335.71,506.63
"1977-01-01 00:00:00",429.67,344.17,525.32
"1978-01-01 00:00:00",428.6,320.98,539.28
"1979-01-01 00:00:00",421.3,369.47,497.94
"1980-01-01 00:00:00",430.72,360.83,517.8
"1981-01-01 00:00:00",444.56,379.83,549.06
"1982-01-01 00:00:00",412.39,325.71,514.25
"1983-01-01 00:00:00",413.3,349.95,481.73
"1984-01-01 00:00:00",404.22,327.98,466.42
"1985-01-01 00:00:00",445,363.28,526.19
"1986-01-01 00:00:00",494.3,347.96,570.14
"1987-01-01 00:00:00",447.35,387.93,522.98
"1988-01-01 00:00:00",456.6,373.41,520.41
"1989-01-01 00:00:00",441.05,396.69,533.11
"1990-01-01 00:00:00",444.33,352.46,562.3
"1991-01-01 00:00:00",428.79,344.88,519.11
"1992-01-01 00:00:00",407.37,336.08,463.26
"1993-01-01 00:00:00",428.69,345.78,537.81
