"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",249.37,196.15,306.72
"1951-01-01 00:00:00",232.1,180.97,287.16
"1952-01-01 00:00:00",239.2,210.97,297.47
"1953-01-01 00:00:00",243.57,197.84,295.96
"1954-01-01 00:00:00",220.75,172.74,294.28
"1955-01-01 00:00:00",241.82,207.18,285.96
"1956-01-01 00:00:00",237.02,181.77,279.77
"1957-01-01 00:00:00",230.73,203.71,300.77
"1958-01-01 00:00:00",218.87,190.38,284.13
"1959-01-01 00:00:00",215.48,173.6,286.21
"1960-01-01 00:00:00",240.05,200.01,310.1
"1961-01-01 00:00:00",239.36,187.2,282.36
"1962-01-01 00:00:00",219.8,200.33,270.02
"1963-01-01 00:00:00",233.43,184.49,296.32
"1964-01-01 00:00:00",227.78,183.28,292.76
"1965-01-01 00:00:00",225.07,175.93,277.52
"1966-01-01 00:00:00",249.6,203.04,277.24
"1967-01-01 00:00:00",233.88,184.09,274.62
"1968-01-01 00:00:00",219.29,181.71,270.51
"1969-01-01 00:00:00",232.87,176.42,285.04
"1970-01-01 00:00:00",223.93,186.2,274.08
"1971-01-01 00:00:00",231.4,201.22,313.34
"1972-01-01 00:00:00",231.07,181.03,289.14
"1973-01-01 00:00:00",226.59,195.66,266.17
"1974-01-01 00:00:00",236.02,191.64,291.35
"1975-01-01 00:00:00",233.61,190.1,280.96
"1976-01-01 00:00:00",242.97,186.81,298.08
"1977-01-01 00:00:00",230.3,198.77,302.45
"1978-01-01 00:00:00",237.97,200.54,279.29
"1979-01-01 00:00:00",241.33,194.31,286.4
"1980-01-01 00:00:00",235.33,192.82,280.73
"1981-01-01 00:00:00",231.2,206.06,274.12
"1982-01-01 00:00:00",233.87,195.01,273.91
"1983-01-01 00:00:00",226.89,177.64,283.8
"1984-01-01 00:00:00",241.12,219.99,291.73
"1985-01-01 00:00:00",246.53,212.48,293.82
"1986-01-01 00:00:00",234.52,189.55,297.05
"1987-01-01 00:00:00",244.49,206.3,295.08
"1988-01-01 00:00:00",229.75,180.5,281.2
"1989-01-01 00:00:00",231.63,197.4,301.52
"1990-01-01 00:00:00",234.44,201.99,311.62
"1991-01-01 00:00:00",243.42,186.64,276.09
"1992-01-01 00:00:00",255.36,194.4,297.1
"1993-01-01 00:00:00",236.71,202.01,271.14
"1994-01-01 00:00:00",239.07,211.98,323.29
"1995-01-01 00:00:00",245.45,200.12,309.94
"1996-01-01 00:00:00",253.03,184.82,315.87
"1997-01-01 00:00:00",234.89,185.51,303.76
"1998-01-01 00:00:00",243.63,214.77,314.64
"1999-01-01 00:00:00",240.89,199.67,294.19
"2000-01-01 00:00:00",241.67,195.04,316.06
"2001-01-01 00:00:00",262.99,218.05,302.73
"2002-01-01 00:00:00",251.78,201.06,295.76
"2003-01-01 00:00:00",226.71,198.46,297.14
"2004-01-01 00:00:00",239.84,206.36,311.34
"2005-01-01 00:00:00",242.18,195.34,306.05,242.18,195.34,306.05,242.98,194.83,305.03,242.52,195.03,302.08
"2006-01-01 00:00:00",,,,245.89,207.79,292.67,236.53,200.49,300.33,261.19,199.78,326.78
"2007-01-01 00:00:00",,,,253.72,193.14,299.07,274.7,215.02,305.31,246.53,215.39,298.42
"2008-01-01 00:00:00",,,,247.53,208.1,309.47,254.89,193.89,325.87,263.03,195.34,316.9
"2009-01-01 00:00:00",,,,251.37,177.9,333.41,255.19,210.34,323.44,242.33,210.61,310.7
"2010-01-01 00:00:00",,,,256.59,208.5,289.9,265.45,212.37,311.76,249.41,195.1,295.97
"2011-01-01 00:00:00",,,,249.05,186.02,301.59,246.98,198,311.33,245.4,216.6,282.83
"2012-01-01 00:00:00",,,,262.69,216.53,288.42,245.4,188.44,311.65,262.75,216.11,344.7
"2013-01-01 00:00:00",,,,251.94,207.35,340.42,244.46,199.07,303.59,251.07,189.96,310.1
"2014-01-01 00:00:00",,,,255.57,201.99,296.55,249.07,216.88,328.86,253.71,202.68,330.59
"2015-01-01 00:00:00",,,,248.79,201.91,327.44,249.8,216.31,313.9,253.04,204.98,311.84
"2016-01-01 00:00:00",,,,259.62,207.42,303.74,254.08,198.21,298.8,257.09,205.61,311.2
"2017-01-01 00:00:00",,,,270.02,191.22,312.11,247.48,218.2,288.4,254.92,215.84,289.47
"2018-01-01 00:00:00",,,,250.66,214.55,296.03,256.42,192.05,305.86,257.95,215.71,286.02
