"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",352.03,281.61,415.09
"1951-01-01 00:00:00",333.05,291.23,382.81
"1952-01-01 00:00:00",339.46,286.73,397.46
"1953-01-01 00:00:00",341.67,295.37,394.44
"1954-01-01 00:00:00",309.71,265.57,368.65
"1955-01-01 00:00:00",328.48,289.58,404.38
"1956-01-01 00:00:00",341.82,305.82,395.42
"1957-01-01 00:00:00",332.48,262.58,391.48
"1958-01-01 00:00:00",356.66,304.02,407.41
"1959-01-01 00:00:00",333.61,286.51,394.2
"1960-01-01 00:00:00",318.79,269.73,369.58
"1961-01-01 00:00:00",327.89,280.26,383.65
"1962-01-01 00:00:00",337.3,281.52,390.12
"1963-01-01 00:00:00",332.17,288.95,374.2
"1964-01-01 00:00:00",332.45,270.97,362.4
"1965-01-01 00:00:00",319.73,250.31,379.15
"1966-01-01 00:00:00",334.07,285.52,363.99
"1967-01-01 00:00:00",336.18,296.3,400.44
"1968-01-01 00:00:00",309.67,279.61,386
"1969-01-01 00:00:00",327.19,273.2,375.34
"1970-01-01 00:00:00",338.87,269.69,395.85
"1971-01-01 00:00:00",351.74,289.18,396.47
"1972-01-01 00:00:00",318.39,275.19,373.18
"1973-01-01 00:00:00",331.91,287.86,379.85
"1974-01-01 00:00:00",325.96,281.73,391.67
"1975-01-01 00:00:00",344.66,258.23,385.29
"1976-01-01 00:00:00",340.85,279.58,383.76
"1977-01-01 00:00:00",337.88,297.66,392.54
"1978-01-01 00:00:00",341.53,278.16,404.83
"1979-01-01 00:00:00",346.62,300.03,405.16
"1980-01-01 00:00:00",341.44,285.15,385.5
"1981-01-01 00:00:00",328.63,276.95,388.36
"1982-01-01 00:00:00",342.69,300.58,387.12
"1983-01-01 00:00:00",314.95,273.02,393.72
"1984-01-01 00:00:00",320.39,273.85,381.84
"1985-01-01 00:00:00",353.77,286.87,412.59
"1986-01-01 00:00:00",316.6,269.31,362.84
"1987-01-01 00:00:00",305.76,260.77,348.33
"1988-01-01 00:00:00",342.86,265.6,396.1
"1989-01-01 00:00:00",341.28,267.49,395.98
