"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",322.49,264.8,390.65
"1951-01-01 00:00:00",311.11,245.6,384.35
"1952-01-01 00:00:00",314.59,269.3,396.77
"1953-01-01 00:00:00",319.73,249.81,388.42
"1954-01-01 00:00:00",295.86,242.92,361.74
"1955-01-01 00:00:00",313,263.01,386.62
"1956-01-01 00:00:00",306.28,251.89,381.79
"1957-01-01 00:00:00",301.17,233.4,382.66
"1958-01-01 00:00:00",324.04,269.93,407.37
"1959-01-01 00:00:00",307.63,246.48,377.19
"1960-01-01 00:00:00",318.73,262.64,363.11
"1961-01-01 00:00:00",289.89,257.86,351.62
"1962-01-01 00:00:00",303.27,247.85,379.35
"1963-01-01 00:00:00",306.37,261.54,370.85
"1964-01-01 00:00:00",290.62,246,369.34
"1965-01-01 00:00:00",317.02,230.74,382.28
"1966-01-01 00:00:00",327.18,259.43,428.32
"1967-01-01 00:00:00",304.03,262.35,386.71
"1968-01-01 00:00:00",333.92,270.7,376.18
"1969-01-01 00:00:00",318.63,264.62,363.03
"1970-01-01 00:00:00",329.49,275.72,360.11
"1971-01-01 00:00:00",315.94,270.22,374.48
"1972-01-01 00:00:00",301.69,265.89,388.57
"1973-01-01 00:00:00",338.56,276.53,399.09
"1974-01-01 00:00:00",335.46,271.86,404.89
"1975-01-01 00:00:00",294.04,264.23,384.37
"1976-01-01 00:00:00",297.77,242.41,373.24
"1977-01-01 00:00:00",318.28,243.67,409.79
"1978-01-01 00:00:00",310.23,253.06,377.51
"1979-01-01 00:00:00",318.41,280.35,390.69
"1980-01-01 00:00:00",300.42,250.95,366.82
"1981-01-01 00:00:00",341.76,246.14,378.19
"1982-01-01 00:00:00",316.51,259.6,383.59
"1983-01-01 00:00:00",319.98,271.27,381.9
"1984-01-01 00:00:00",317.05,245.66,408.58
"1985-01-01 00:00:00",336.68,270.67,396.24
"1986-01-01 00:00:00",310.3,253.85,373.15
"1987-01-01 00:00:00",301.73,229.44,356.02
"1988-01-01 00:00:00",316.16,273.93,391.19
"1989-01-01 00:00:00",326.91,272.99,364.91
"1990-01-01 00:00:00",308.96,263.52,398.17
"1991-01-01 00:00:00",335.86,254.61,384.89
"1992-01-01 00:00:00",292.85,228.95,406.22
"1993-01-01 00:00:00",301.18,239.75,418.2
"1994-01-01 00:00:00",299.37,238.11,349.39
"1995-01-01 00:00:00",319.6,259.13,372
"1996-01-01 00:00:00",323.02,285.65,388.69
"1997-01-01 00:00:00",335.92,254.25,382.03
"1998-01-01 00:00:00",308.92,256.73,407.72
"1999-01-01 00:00:00",324.84,258.31,404.85
"2000-01-01 00:00:00",302.67,262.97,388.31
"2001-01-01 00:00:00",329.16,286.76,412.9
"2002-01-01 00:00:00",329.93,263.93,422.49
"2003-01-01 00:00:00",336.78,274.85,404.26
"2004-01-01 00:00:00",323.19,285.59,412.29
"2005-01-01 00:00:00",338.16,252.06,417.28,338.16,252.06,417.28,338.69,251.94,420.37,341.41,250.43,420.85
"2006-01-01 00:00:00",,,,319.71,250.08,385.89,333.16,275.88,426.7,348.55,288.16,406.03
