"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",354.84,257.36,436.56
"1951-01-01 00:00:00",328.77,272.62,488.38
"1952-01-01 00:00:00",357.13,299.34,483.85
"1953-01-01 00:00:00",413.33,230.06,501.6
"1954-01-01 00:00:00",353.95,288.1,493.98
"1955-01-01 00:00:00",390.96,312.94,494.16
"1956-01-01 00:00:00",361.06,259.94,481.5
"1957-01-01 00:00:00",386.42,257.8,505.69
"1958-01-01 00:00:00",378.92,308.86,551.47
"1959-01-01 00:00:00",398.47,308.59,512.29
"1960-01-01 00:00:00",394.87,310.94,526.25
"1961-01-01 00:00:00",413.98,281.84,476.7
"1962-01-01 00:00:00",389.38,310.8,539.27
"1963-01-01 00:00:00",372.95,281.66,498.28
"1964-01-01 00:00:00",422.31,295.12,508.43
"1965-01-01 00:00:00",401.54,294.17,503.09
"1966-01-01 00:00:00",387.67,292.83,479.29
"1967-01-01 00:00:00",325.83,222.6,556.29
"1968-01-01 00:00:00",377.68,293.69,494.78
"1969-01-01 00:00:00",353.31,291.31,479.28
"1970-01-01 00:00:00",367.47,309.28,439.58
"1971-01-01 00:00:00",405.87,243.02,540.53
"1972-01-01 00:00:00",352.12,254.97,431.72
"1973-01-01 00:00:00",409.21,305.6,486.06
"1974-01-01 00:00:00",371.63,307.45,458.76
"1975-01-01 00:00:00",343.94,254.24,477.22
"1976-01-01 00:00:00",379.29,258.97,432.95
"1977-01-01 00:00:00",382.49,275.71,465.61
"1978-01-01 00:00:00",337.31,265.88,481.97
"1979-01-01 00:00:00",357.95,257.63,455.5
"1980-01-01 00:00:00",388.71,308.73,532.66
"1981-01-01 00:00:00",371.58,238.76,516.01
"1982-01-01 00:00:00",383.16,310.26,520.66
"1983-01-01 00:00:00",373.07,307.46,470.81
"1984-01-01 00:00:00",348.53,259.65,468.41
"1985-01-01 00:00:00",378.35,294.11,465.19
"1986-01-01 00:00:00",367.18,266.86,477.24
"1987-01-01 00:00:00",362.77,284.5,456.75
"1988-01-01 00:00:00",377.27,277.63,466.22
"1989-01-01 00:00:00",350.28,269.93,478.27
"1990-01-01 00:00:00",402.15,308.62,533.34
"1991-01-01 00:00:00",376.7,275.22,484.71
"1992-01-01 00:00:00",358.58,260.57,488.06
"1993-01-01 00:00:00",386.01,303.3,473.91
"1994-01-01 00:00:00",376.06,282.98,477.06
"1995-01-01 00:00:00",389.47,289.09,502.86
"1996-01-01 00:00:00",407.36,301.39,464.1
"1997-01-01 00:00:00",407.84,273.07,533.12
"1998-01-01 00:00:00",390.61,286.34,502.74
"1999-01-01 00:00:00",395.16,279.46,500.7
"2000-01-01 00:00:00",354.23,261.06,509.37
"2001-01-01 00:00:00",362.14,317.93,499.08
"2002-01-01 00:00:00",386.53,328,477.75
"2003-01-01 00:00:00",400.27,289.99,472.37
"2004-01-01 00:00:00",375.3,299.6,497.65
"2005-01-01 00:00:00",405.22,297.95,556.48,405.22,297.95,556.48,404.06,297.86,560.99,403.33,297.49,554.07
"2006-01-01 00:00:00",,,,443.1,274.5,587.55,368.67,270.47,462.88,357.64,282.57,461.32
"2007-01-01 00:00:00",,,,412.53,239.12,544.83,368.84,282.28,524.13,391.29,305.44,537.75
"2008-01-01 00:00:00",,,,419.05,286.3,519.48,393.93,265.24,506.95,368.42,265.94,519.52
"2009-01-01 00:00:00",,,,392.6,293.67,492.53,380.94,327.57,565.38,410.12,268.28,501.43
"2010-01-01 00:00:00",,,,416.17,319.03,507.85,423.87,287.37,481.18,366.24,274.09,560.58
"2011-01-01 00:00:00",,,,406.5,292.24,535.77,363.91,285.78,486.61,364.47,256.93,553.49
"2012-01-01 00:00:00",,,,356.4,257.16,509.85,402.37,291.13,532.2,410.88,287.29,544.39
"2013-01-01 00:00:00",,,,392.15,315.07,562.68,414.71,334.56,624.14,410.89,299.27,506.73
"2014-01-01 00:00:00",,,,413.52,322.1,526.35,411.84,298.69,493.12,392.38,303.19,503.34
"2015-01-01 00:00:00",,,,347.07,258.86,480.17,425.24,319.42,504.14,392.5,285.92,514.09
"2016-01-01 00:00:00",,,,389.06,292.42,459.03,404.41,308.64,532.7,404.64,305.84,521.61
"2017-01-01 00:00:00",,,,446.18,315.11,522.82,383.07,277.06,505.69,426.14,252.15,535.37
"2018-01-01 00:00:00",,,,410.2,304.4,462.85,373.29,271.87,455.26,381.84,278.7,454.16
"2019-01-01 00:00:00",,,,364.52,303.11,471.67,375.3,250.44,493.48,369.52,281.79,473.2
"2020-01-01 00:00:00",,,,397.19,281.54,486.44,384.21,296.99,587.02,374.81,249.45,506.25
"2021-01-01 00:00:00",,,,394.24,306.66,560.32,377.29,309.43,503.33,394.09,277.89,571.31
"2022-01-01 00:00:00",,,,392.01,300.78,530.97,407.1,284.95,576.39,369.06,252.76,463.25
"2023-01-01 00:00:00",,,,406.23,292.72,537.64,400.96,300.09,556.28,383.02,266.73,509.84
"2024-01-01 00:00:00",,,,359.66,209.07,495.71,354.9,290.63,516.66,393.34,316.55,511.55
"2025-01-01 00:00:00",,,,422.7,336.09,537.35,391.66,255.51,516.28,388.17,290.26,487.23
"2026-01-01 00:00:00",,,,403.6,296.71,481.92,372.97,291.39,497.98,397.44,324.68,538.88
"2027-01-01 00:00:00",,,,441.84,290.04,585.26,389.59,304.45,497.5,409.46,299.29,477.03
"2028-01-01 00:00:00",,,,381.15,268.54,500.83,394.31,297.65,488.1,407.2,318.04,503.53
"2029-01-01 00:00:00",,,,342.62,250.85,462.55,420.9,256.33,544.67,457.54,309.02,571.82
"2030-01-01 00:00:00",,,,370.61,298.74,522.51,361.42,262.28,488.14,394.97,299.39,537
"2031-01-01 00:00:00",,,,394.22,295.7,537.58,388.28,307.1,584.65,390.96,287.25,538.79
"2032-01-01 00:00:00",,,,410.86,300.45,551.45,404.37,346.79,569.28,399,317.4,521.32
"2033-01-01 00:00:00",,,,412.92,328.98,554.49,402.09,338.72,517.54,393.34,305.01,516.8
"2034-01-01 00:00:00",,,,409.3,295.02,520.73,370.16,260.21,549.74,429.5,351.06,512.43
"2035-01-01 00:00:00",,,,377.52,303.93,451.37,416.43,302.35,539.76,395.23,287.32,513.72
"2036-01-01 00:00:00",,,,394.89,266.08,489.86,359.8,263.96,489.36,412.35,347.38,575.79
"2037-01-01 00:00:00",,,,414.1,291.87,480.92,389.57,305.28,483.96,425.83,329.5,513.98
"2038-01-01 00:00:00",,,,396.76,344.58,549.08,479.17,322,593.55,410.25,293.6,517.06
"2039-01-01 00:00:00",,,,436.14,330.08,516.84,391.07,309.39,508.07,378.35,310.71,604.01
"2040-01-01 00:00:00",,,,417.23,297.44,514.3,409.95,317.59,612,405.03,301.49,504.21
"2041-01-01 00:00:00",,,,377.29,281.28,496.67,398.74,281.79,468.27,361.67,282.72,501.52
"2042-01-01 00:00:00",,,,403.04,320.11,474.83,398.95,314.51,564.03,405.28,315.41,543.51
"2043-01-01 00:00:00",,,,439.69,275.25,543.22,375.85,273.79,482.66,408.64,279.98,500.12
"2044-01-01 00:00:00",,,,400.71,309.04,537.6,424.1,370.52,538.68,478.66,376.36,522.17
"2045-01-01 00:00:00",,,,357.22,304.4,503.13,378.86,307.84,512.08,402.16,336.08,610.45
"2046-01-01 00:00:00",,,,382.99,293.37,527.36,362.48,281,475.56,403.59,287.45,540.3
"2047-01-01 00:00:00",,,,382.29,235.21,521.49,398.86,283.39,534.29,443.17,305.84,515.35
"2048-01-01 00:00:00",,,,371.53,309.17,541.62,389.04,285.8,509.86,367.06,266.56,559.67
"2049-01-01 00:00:00",,,,375.22,240.9,478.24,390.98,292.19,513.08,388.72,269.93,568.6
"2050-01-01 00:00:00",,,,420.29,309.71,538.65,388.96,299.33,532.5,413.65,271.73,573.2
"2051-01-01 00:00:00",,,,399.96,324.63,504.15,402.18,325.45,523.52,397.26,298.01,488
"2052-01-01 00:00:00",,,,402.84,303.04,551.88,411.69,321.93,495.67,378.48,230.2,540.9
"2053-01-01 00:00:00",,,,382.07,310.94,516.89,403.53,299.24,477.87,374.18,250.8,515.84
"2054-01-01 00:00:00",,,,377.4,290.71,519.01,425.76,276.6,587.28,398.44,293.71,540.85
"2055-01-01 00:00:00",,,,393.16,285.27,478.91,408.74,326.31,556.3,408.57,361.21,502.55
"2056-01-01 00:00:00",,,,390.68,336.48,499.72,400.17,345.06,519.29,389.25,307.11,528.05
"2057-01-01 00:00:00",,,,420.25,319.98,535.92,384.53,281.99,540.34,367.57,279.29,540.74
"2058-01-01 00:00:00",,,,360.49,285.99,496.88,378.48,247.29,504.83,394.9,289.54,556.22
"2059-01-01 00:00:00",,,,385.81,256.46,536.84,407.07,269.57,566.32,434.95,281.41,506.43
"2060-01-01 00:00:00",,,,405.03,265.09,573.75,386.08,295.56,547.02,436.24,336.93,506.99
"2061-01-01 00:00:00",,,,377.46,281.81,551.19,383.3,287.81,560.22,433.77,343.3,555.48
"2062-01-01 00:00:00",,,,433.88,325.13,554.32,391.05,273.21,479.13,459.75,302.92,612.67
"2063-01-01 00:00:00",,,,420.83,315.89,601.91,422.64,303.07,520.52,423.5,310.31,574.64
"2064-01-01 00:00:00",,,,373.35,281.88,468.84,420.76,329.5,596.67,427.15,323.34,549.56
"2065-01-01 00:00:00",,,,399.96,323.38,597.79,415.05,301.08,558.04,382.1,263.08,587.28
"2066-01-01 00:00:00",,,,410.07,328.7,505.62,417.56,323.5,569.96,387.46,294.56,497.72
"2067-01-01 00:00:00",,,,458.43,300.83,576.11,437,282.14,513.53,419.35,272.28,522.07
"2068-01-01 00:00:00",,,,393.52,296.85,518.94,440.47,330.26,596.27,391.87,327.64,570.48
"2069-01-01 00:00:00",,,,423.03,287.26,569.26,389.54,262.19,519.7,403.08,315.45,551.04
"2070-01-01 00:00:00",,,,413.85,312.38,490.48,401.72,288.83,526.24,421.71,279.34,600.31
