"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",804.33,666.12,902.19
"1951-01-01 00:00:00",790.84,660.38,1037.75
"1952-01-01 00:00:00",791.67,678.18,902.61
"1953-01-01 00:00:00",798.27,704.73,948.26
"1954-01-01 00:00:00",774.26,666.22,874.13
"1955-01-01 00:00:00",719.25,656.49,895.5
"1956-01-01 00:00:00",767.69,620.1,878.76
"1957-01-01 00:00:00",743.79,636.32,848.31
"1958-01-01 00:00:00",821.13,684.12,973.4
"1959-01-01 00:00:00",839.23,654.01,1006.78
"1960-01-01 00:00:00",793.97,669.32,951.4
"1961-01-01 00:00:00",786.76,635.3,917.93
"1962-01-01 00:00:00",809.61,687.27,920.59
"1963-01-01 00:00:00",741.6,628.04,892.44
"1964-01-01 00:00:00",727.03,627.36,933.17
"1965-01-01 00:00:00",775.64,687.12,928.59
"1966-01-01 00:00:00",815.13,662.27,916.17
"1967-01-01 00:00:00",788.99,666.52,870.53
"1968-01-01 00:00:00",818.6,664.38,926.14
"1969-01-01 00:00:00",779.77,691.19,946.33
"1970-01-01 00:00:00",730.29,621.29,881.61
"1971-01-01 00:00:00",777.6,616.75,870.21
"1972-01-01 00:00:00",772.79,651.63,893
"1973-01-01 00:00:00",781.89,679.48,967.65
"1974-01-01 00:00:00",759.15,616.2,879.95
"1975-01-01 00:00:00",814.41,660.9,896.51
"1976-01-01 00:00:00",753.04,654.68,888.85
"1977-01-01 00:00:00",780.8,639.56,946.6
"1978-01-01 00:00:00",707.19,601.87,912.54
"1979-01-01 00:00:00",790.93,655.03,890.4
"1980-01-01 00:00:00",763.91,667.09,889.88
"1981-01-01 00:00:00",719.78,634.83,824.9
"1982-01-01 00:00:00",801.99,696.91,903.33
"1983-01-01 00:00:00",798.91,656.63,904.31
