"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",773.54,672.69,1115.5
"1951-01-01 00:00:00",819.66,709.34,913.95
"1952-01-01 00:00:00",832.51,603.03,987.76
"1953-01-01 00:00:00",886.14,651.14,1051.22
"1954-01-01 00:00:00",808.01,652.69,1074.71
"1955-01-01 00:00:00",794.59,639.42,989.24
"1956-01-01 00:00:00",795.19,656.92,1013.68
"1957-01-01 00:00:00",828.61,695.11,987.21
"1958-01-01 00:00:00",771.62,633.46,1031.35
"1959-01-01 00:00:00",827.65,635.86,1097.3
"1960-01-01 00:00:00",886.94,697.96,1079.99
"1961-01-01 00:00:00",839.51,644.7,1028.39
"1962-01-01 00:00:00",831.1,655.76,1082.37
"1963-01-01 00:00:00",841.93,674.44,1026.69
"1964-01-01 00:00:00",802.41,668.7,933.62
"1965-01-01 00:00:00",765.75,609.42,984.23
"1966-01-01 00:00:00",782.64,665.18,910.28
"1967-01-01 00:00:00",832.21,589.41,1015.24
"1968-01-01 00:00:00",852.68,680.8,1013.78
"1969-01-01 00:00:00",871.34,685.42,1068.19
"1970-01-01 00:00:00",823.95,653.43,1016.53
"1971-01-01 00:00:00",788.58,515.18,977.42
"1972-01-01 00:00:00",829.52,711.39,1046.1
"1973-01-01 00:00:00",812.75,690.48,998.48
"1974-01-01 00:00:00",841.25,559.33,1026.1
"1975-01-01 00:00:00",803.58,654.36,1044.7
"1976-01-01 00:00:00",814.32,658.16,967.94
"1977-01-01 00:00:00",868.32,702.27,969.21
"1978-01-01 00:00:00",780.96,705.56,1071.13
"1979-01-01 00:00:00",847.68,698.85,950.93
"1980-01-01 00:00:00",812.33,565.9,1030.97
"1981-01-01 00:00:00",877.67,634.24,1032.84
"1982-01-01 00:00:00",827.74,569.23,1010.85
"1983-01-01 00:00:00",842.46,713.54,1075.7
"1984-01-01 00:00:00",767.57,654.12,944.83
"1985-01-01 00:00:00",827.06,647.18,955.14
"1986-01-01 00:00:00",880.22,713.61,1049.62
"1987-01-01 00:00:00",764.87,637.32,1047.57
"1988-01-01 00:00:00",841.35,633.06,1040.16
"1989-01-01 00:00:00",771.04,647.37,981.45
"1990-01-01 00:00:00",873.03,655.72,1029.12
"1991-01-01 00:00:00",804.85,698.84,1058.37
"1992-01-01 00:00:00",809.99,685.18,990.89
"1993-01-01 00:00:00",802.1,638.58,954.45
