"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",318.74,245.07,387.13
"1951-01-01 00:00:00",285.09,250.25,344.23
"1952-01-01 00:00:00",291.44,225.82,362.27
"1953-01-01 00:00:00",282.51,230.72,348.99
"1954-01-01 00:00:00",281.53,240.68,385.89
"1955-01-01 00:00:00",295.08,249.51,333.2
"1956-01-01 00:00:00",313.06,252.92,362.8
"1957-01-01 00:00:00",282.52,234.25,345.48
"1958-01-01 00:00:00",302.68,254.86,343.73
"1959-01-01 00:00:00",276.44,247.62,351.23
"1960-01-01 00:00:00",270.86,237.37,324.23
"1961-01-01 00:00:00",282.63,235.74,337.96
"1962-01-01 00:00:00",295.22,241.6,335.13
"1963-01-01 00:00:00",291.49,231.84,318.99
"1964-01-01 00:00:00",285.08,215.89,326.33
"1965-01-01 00:00:00",271.99,232.53,302.21
"1966-01-01 00:00:00",296.68,227.32,344.83
"1967-01-01 00:00:00",287.56,248.76,345.81
"1968-01-01 00:00:00",282.57,235.54,344.88
"1969-01-01 00:00:00",275.93,228.95,325.5
"1970-01-01 00:00:00",294.25,221.31,342.66
"1971-01-01 00:00:00",312,239.66,357.44
"1972-01-01 00:00:00",294.1,247.95,324.8
"1973-01-01 00:00:00",282.15,227.77,343.97
"1974-01-01 00:00:00",277.84,246,347.64
"1975-01-01 00:00:00",293.76,230,363.22
"1976-01-01 00:00:00",285.91,233.91,347.52
"1977-01-01 00:00:00",315.8,279.99,371.31
"1978-01-01 00:00:00",301.15,259.06,337.93
"1979-01-01 00:00:00",314.88,248.51,368.95
"1980-01-01 00:00:00",274.06,218.53,358.93
"1981-01-01 00:00:00",285.34,229.74,340.04
"1982-01-01 00:00:00",292.59,248.61,342.02
"1983-01-01 00:00:00",287.77,240.06,321.39
"1984-01-01 00:00:00",301.33,245.28,339.92
"1985-01-01 00:00:00",298.52,258.31,375.06
"1986-01-01 00:00:00",285.14,224.01,332.58
"1987-01-01 00:00:00",283.92,235.63,344.9
"1988-01-01 00:00:00",290.91,251.53,363.74
"1989-01-01 00:00:00",324.04,244.72,346.66
"1990-01-01 00:00:00",271.64,232.04,330.76
"1991-01-01 00:00:00",293.3,229.45,348.94
"1992-01-01 00:00:00",307.67,241.54,360.66
"1993-01-01 00:00:00",287.25,228.17,335.86
"1994-01-01 00:00:00",286.57,220.78,370.22
"1995-01-01 00:00:00",285.34,220.8,358.02
"1996-01-01 00:00:00",295.85,247.14,343.1
"1997-01-01 00:00:00",294.98,232.86,364.27
"1998-01-01 00:00:00",297.71,229.98,374.95
"1999-01-01 00:00:00",291.1,222.82,372.43
"2000-01-01 00:00:00",300.79,257.88,351.38
"2001-01-01 00:00:00",294.02,253.61,365.77
"2002-01-01 00:00:00",310.71,277.16,367.09
"2003-01-01 00:00:00",283.92,234.77,334.35
"2004-01-01 00:00:00",294.76,229.44,369.22
"2005-01-01 00:00:00",302.69,261.55,380.33,302.69,261.55,380.33,304.82,262.27,378.51,304.79,261.13,380.29
"2006-01-01 00:00:00",,,,318.9,276.18,353.59,293.49,229.83,393.56,324.32,260.75,364.59
"2007-01-01 00:00:00",,,,332.77,261.88,382.89,313.82,276.69,348.61,290.96,246.25,363.8
"2008-01-01 00:00:00",,,,320.12,278.77,379.37,334.04,244.92,373.92,319.57,232.58,360.36
"2009-01-01 00:00:00",,,,334.79,266.12,373.76,328.68,268.29,350.91,296.41,255.95,361.96
"2010-01-01 00:00:00",,,,293.75,259.12,340.08,305.48,246.66,368.13,309.05,239.83,357.95
"2011-01-01 00:00:00",,,,295.38,227.25,365.19,298.59,234.61,359.86,292.62,218.3,375.84
"2012-01-01 00:00:00",,,,313.5,271.17,345.62,303.77,256.87,354.11,298.21,257.4,384.93
"2013-01-01 00:00:00",,,,307.73,263.64,362.9,290.33,224.79,376.56,321.13,259.93,365.33
"2014-01-01 00:00:00",,,,292.86,248.71,337.06,282.17,240.34,362.27,299.83,234.76,336.49
"2015-01-01 00:00:00",,,,288.44,243.64,361.45,295.45,240.49,374.79,314.39,278.78,374.69
"2016-01-01 00:00:00",,,,318.84,233.32,363.68,295.09,265.83,383.63,311.34,260.67,338.81
"2017-01-01 00:00:00",,,,313.94,249.22,361.96,309.1,233.82,355.67,291.19,223.58,365.24
"2018-01-01 00:00:00",,,,304.57,213.04,376.58,319.13,257.07,368.91,318.18,265.72,365.32
"2019-01-01 00:00:00",,,,295.74,244.98,376.15,328.27,241.32,373.14,301.36,251.05,333.32
"2020-01-01 00:00:00",,,,319.72,262.57,340.19,307.91,226.11,374.81,327.5,291.07,376.57
"2021-01-01 00:00:00",,,,323.76,245.01,367.64,326.3,272.95,384.12,305.62,264.2,374.14
"2022-01-01 00:00:00",,,,313.36,259.67,371.28,312.23,265.21,361.03,307.22,243.38,358.67
"2023-01-01 00:00:00",,,,312.72,255.57,384.56,305.63,251.35,392.22,328.07,272.53,379.24
"2024-01-01 00:00:00",,,,320.91,255.44,396.15,327.22,265.41,408.43,325,241.14,395.51
"2025-01-01 00:00:00",,,,292.75,260.17,356.74,298.61,228.89,365.65,306.44,244.8,376.78
"2026-01-01 00:00:00",,,,314.56,261.79,349.64,305.12,281.45,359.33,303.58,250.95,374.97
"2027-01-01 00:00:00",,,,326.27,257.04,381.26,314.72,266.8,365.37,317.04,231.13,368.58
"2028-01-01 00:00:00",,,,333.02,275.49,383.16,301.45,230.81,373.21,324.48,255.22,367.7
"2029-01-01 00:00:00",,,,315.97,263.18,381.57,315.69,264.34,371.42,331.48,269.15,400.03
"2030-01-01 00:00:00",,,,314.65,250.48,390.02,321.93,266,386.03,316.9,275.77,400.1
"2031-01-01 00:00:00",,,,310.34,254.35,377.76,304.29,243.72,371.05,342.17,300.67,379.1
"2032-01-01 00:00:00",,,,340.79,279.17,389.96,334.87,273.18,385.43,323.77,252.68,369.5
"2033-01-01 00:00:00",,,,315.55,256.45,405.61,347.5,266.75,416.34,323.01,260.7,408.37
"2034-01-01 00:00:00",,,,321.52,265.07,450.47,321.38,274.46,368.79,323.92,294.11,383.1
"2035-01-01 00:00:00",,,,309.59,275.8,380.39,311.45,240.63,348.62,328.3,280.26,404.29
"2036-01-01 00:00:00",,,,309.61,257.06,390.44,310.74,254.57,360.7,316.49,254.09,380.55
"2037-01-01 00:00:00",,,,334.71,242.57,407.05,332.43,241.15,378.12,347.74,302.61,405.03
"2038-01-01 00:00:00",,,,342.2,279.41,430.19,345.18,267.79,427.93,337.03,275.62,365.52
"2039-01-01 00:00:00",,,,337.11,245.82,388.02,332.67,277.45,404.77,335.43,272.67,374.22
"2040-01-01 00:00:00",,,,316.66,279.61,383.53,322.16,262,398.4,304.04,257.34,399.31
"2041-01-01 00:00:00",,,,302.66,261.48,389.65,321.35,296.36,371.99,339.48,279.01,395.42
"2042-01-01 00:00:00",,,,321.41,286.69,365.97,308.58,252.26,375.2,321.72,269.47,375.65
"2043-01-01 00:00:00",,,,315.22,286.92,388.77,323.03,277.24,427.19,326.95,277.32,397.6
"2044-01-01 00:00:00",,,,313.84,272.87,385.43,324.15,255.21,404.92,303.44,243.02,372.84
"2045-01-01 00:00:00",,,,323.06,275,387.04,305.01,254.68,383.6,308.26,252.14,375.51
"2046-01-01 00:00:00",,,,301.13,246.74,387.36,307.7,261.13,392.76,338.84,289.78,364.86
"2047-01-01 00:00:00",,,,304.68,272.87,401.89,323.34,242.71,403.13,319.55,265.3,389.57
"2048-01-01 00:00:00",,,,324.72,263.2,371.96,306.18,258.7,408.75,325.85,259.58,386.93
"2049-01-01 00:00:00",,,,312.87,258.02,361.38,319.19,263.37,382.52,347.62,286.33,403.89
"2050-01-01 00:00:00",,,,312.61,259.34,385.23,335.6,247.86,403.7,334.63,273.37,424.51
"2051-01-01 00:00:00",,,,330.21,278.31,413.21,337.2,295.13,392.01,335.35,276.83,387.47
"2052-01-01 00:00:00",,,,317.1,275.66,410.84,342.42,264.71,435.62,310.83,244.85,379.18
"2053-01-01 00:00:00",,,,325,246.33,384.38,359.99,282.08,399.2,317.59,276.16,447.58
"2054-01-01 00:00:00",,,,310.47,277.2,377.39,337.34,252.26,377.13,343.43,302.49,421.71
"2055-01-01 00:00:00",,,,324.64,254.08,428.17,318.78,261,373.63,341.86,283.79,402.47
"2056-01-01 00:00:00",,,,343.84,297.87,414.23,306.8,276.33,377.5,342.68,274.78,410.07
"2057-01-01 00:00:00",,,,341.53,283.24,389.28,331.21,274.26,393.76,340.99,271.65,451.47
"2058-01-01 00:00:00",,,,326.02,261.19,389.42,337.61,264.03,423.54,347.21,284.94,417.15
"2059-01-01 00:00:00",,,,333.83,270.76,368.8,335.68,262.51,383.2,369.22,283.19,408.16
"2060-01-01 00:00:00",,,,351.21,284.41,399.37,328.72,271.43,387.48,361,289.72,414.06
"2061-01-01 00:00:00",,,,316.25,262.87,393.45,348.53,295.56,405.08,335.6,285.69,442.01
"2062-01-01 00:00:00",,,,319.01,267.89,367.74,326.71,259.96,405.52,349.4,292.57,428.02
"2063-01-01 00:00:00",,,,313.25,236.5,383.16,341.1,290.23,421.81,367.12,291.44,420.12
"2064-01-01 00:00:00",,,,339.69,275.42,402.79,334.55,274.14,382.16,356.91,310.01,434.1
"2065-01-01 00:00:00",,,,322.26,289.17,381.67,329.27,261.75,395.9,362.65,293.29,469.67
"2066-01-01 00:00:00",,,,313.61,253.46,392.06,343.17,275.56,392.23,364.69,300.44,429.93
"2067-01-01 00:00:00",,,,307.61,247.44,377.14,354.13,265.51,406.7,372.93,315.15,442.14
"2068-01-01 00:00:00",,,,343.61,255.5,379.26,345.78,277.13,410.65,340.8,290.33,447.34
"2069-01-01 00:00:00",,,,317.87,249.61,364.76,348.12,303.28,415.94,367.95,289.84,496.08
"2070-01-01 00:00:00",,,,332.64,258.64,393,346.05,268.1,400.86,320.9,249.81,408.83
"2071-01-01 00:00:00",,,,307.3,254.01,360.64,355.2,298.48,406.01,340.76,280.32,443.2
"2072-01-01 00:00:00",,,,310.2,277.25,413.16,343.51,288.91,395.26,369.12,313.87,426.08
"2073-01-01 00:00:00",,,,342.14,258.85,392.08,350.28,270.73,425.03,357.41,297.19,423.24
"2074-01-01 00:00:00",,,,321.49,281.66,366.29,338.23,277.59,397.25,355.28,307.86,401.34
"2075-01-01 00:00:00",,,,305.92,266.7,368.36,347.15,289.11,407.59,353.46,303.51,433.8
"2076-01-01 00:00:00",,,,329.8,272.6,384.57,333.61,261.43,400.37,360.56,296,407.28
"2077-01-01 00:00:00",,,,321.22,249.01,390.38,314.63,266.94,378.11,387.39,292.19,448.37
"2078-01-01 00:00:00",,,,341.71,267.49,395.95,353.29,298.59,428.97,354.51,298.2,459.13
"2079-01-01 00:00:00",,,,328.75,280.93,394.81,348.43,291.87,403.56,354.43,276.12,407.79
"2080-01-01 00:00:00",,,,318.08,269.09,398.4,372.81,335.05,412.81,377.72,338.93,455.62
"2081-01-01 00:00:00",,,,332.45,267.52,400.34,335.97,272.62,394.81,357.03,264.99,408.4
"2082-01-01 00:00:00",,,,343.4,283.47,405.96,338.5,294.08,406.18,393.35,306.97,430.83
"2083-01-01 00:00:00",,,,304.27,244.17,398.19,326.59,258.44,387.99,369.42,309.37,424.16
"2084-01-01 00:00:00",,,,337.01,287.4,398.47,355.53,307.15,407.08,364.05,319.21,441
"2085-01-01 00:00:00",,,,324.23,251.27,373.08,344.79,284.63,407.73,354.6,280.06,446.1
"2086-01-01 00:00:00",,,,324.09,258.24,371.24,347.38,309.6,378.9,372.48,299.05,428.91
"2087-01-01 00:00:00",,,,322.21,270.81,362.76,329.16,275.31,412.3,376.11,301.44,487
"2088-01-01 00:00:00",,,,315.47,269.24,394.34,338.95,266.13,401.27,370.32,307.84,508.9
"2089-01-01 00:00:00",,,,317.75,276.9,431.2,328.3,263.3,377.54,397.53,314.28,490.62
"2090-01-01 00:00:00",,,,310.9,267.18,367.83,360.61,273.11,393.23,406.52,331.8,506.37
"2091-01-01 00:00:00",,,,334.38,265.38,426.36,332.33,279.28,422.05,387.59,314.04,443.28
"2092-01-01 00:00:00",,,,318.01,251.61,368.88,342.48,286.51,414.05,386.7,309.6,503.92
"2093-01-01 00:00:00",,,,337.66,277.6,399.75,321.43,264.6,428.97,390.73,320.01,440.64
"2094-01-01 00:00:00",,,,334.31,277.76,367.19,350.67,302.3,408.14,385.23,310.51,432.67
"2095-01-01 00:00:00",,,,346.07,282.57,406.75,344.41,303.63,415.04,366.77,305.33,474.21
"2096-01-01 00:00:00",,,,321.77,274.86,392.35,338.36,274.47,403.63,402.77,365.97,474.14
"2097-01-01 00:00:00",,,,342.1,279.61,381.19,354.2,263.75,398.12,397.84,295.6,454.63
"2098-01-01 00:00:00",,,,338.71,300.82,412.2,330.29,279.17,392.19,376.36,318.4,498.66
"2099-01-01 00:00:00",,,,342.68,265,390.73,351.46,290.89,435.38,397.34,320.62,472.57
"2100-01-01 00:00:00",,,,335.98,276.58,409.74,351.25,317.62,416.53,374.15,319,462.05
