"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",461.81,371.56,686.53
"1951-01-01 00:00:00",480.25,411.44,602.98
"1952-01-01 00:00:00",482.17,416.7,717.58
"1953-01-01 00:00:00",536.96,355.32,718.94
"1954-01-01 00:00:00",494.33,402.51,640.21
"1955-01-01 00:00:00",512.01,414.08,638.6
"1956-01-01 00:00:00",501.93,345.59,671.6
"1957-01-01 00:00:00",543.93,456.95,658.55
"1958-01-01 00:00:00",562.5,504.98,631.54
"1959-01-01 00:00:00",549.1,426.07,689.63
"1960-01-01 00:00:00",542.71,402.62,647.91
"1961-01-01 00:00:00",543.17,457.97,616.84
"1962-01-01 00:00:00",503.86,364.41,653.84
"1963-01-01 00:00:00",538.4,453.77,652.93
"1964-01-01 00:00:00",539.68,445.68,649.42
"1965-01-01 00:00:00",485.22,387.22,734.03
"1966-01-01 00:00:00",526.14,395.25,724.85
"1967-01-01 00:00:00",537.98,349.38,619.87
"1968-01-01 00:00:00",512.68,393.62,615.84
"1969-01-01 00:00:00",506.39,365.09,651.21
"1970-01-01 00:00:00",506.87,390.76,627.83
"1971-01-01 00:00:00",521.4,393.34,679.24
"1972-01-01 00:00:00",506.68,373.57,619.68
"1973-01-01 00:00:00",519.04,408.66,639.75
"1974-01-01 00:00:00",487.84,392.8,662.27
"1975-01-01 00:00:00",529.94,331.6,623.03
"1976-01-01 00:00:00",475.02,409.49,575.85
"1977-01-01 00:00:00",523.25,391.81,675.94
"1978-01-01 00:00:00",520.2,375.8,719.66
"1979-01-01 00:00:00",493.55,388.97,618.02
"1980-01-01 00:00:00",557.28,418.33,676.78
"1981-01-01 00:00:00",525.68,393.89,680.45
"1982-01-01 00:00:00",536.39,445.36,604.08
"1983-01-01 00:00:00",511.46,376.49,620.17
"1984-01-01 00:00:00",483.92,378.76,663.15
"1985-01-01 00:00:00",486.75,399.68,628.87
"1986-01-01 00:00:00",512.1,423.43,602.39
"1987-01-01 00:00:00",513.68,424.62,611.51
"1988-01-01 00:00:00",526.05,419.65,637.61
"1989-01-01 00:00:00",484.31,388.55,614.4
"1990-01-01 00:00:00",534.87,417.48,719.16
"1991-01-01 00:00:00",506.73,430.5,630.09
"1992-01-01 00:00:00",485.29,358.25,608.06
"1993-01-01 00:00:00",502.32,417.64,648.6
"1994-01-01 00:00:00",528.39,428.87,695.31
"1995-01-01 00:00:00",563.6,412.06,706.31
"1996-01-01 00:00:00",524.35,393.19,636.71
"1997-01-01 00:00:00",521.34,413.94,726.51
"1998-01-01 00:00:00",546.8,409.42,633.75
"1999-01-01 00:00:00",539.99,433.34,674.42
"2000-01-01 00:00:00",496.89,425.75,586.34
"2001-01-01 00:00:00",520.31,356.11,731.01
"2002-01-01 00:00:00",550.46,465.41,657.44
"2003-01-01 00:00:00",542.17,404.54,716.83
"2004-01-01 00:00:00",514.9,422.48,602.26
"2005-01-01 00:00:00",538.6,456.58,697.54,538.6,456.58,697.54,541.19,459.14,706.61,538.55,456.28,704.22
"2006-01-01 00:00:00",,,,529.58,403.75,694.12,536.96,389.35,620.13,561.71,380.36,632.12
"2007-01-01 00:00:00",,,,519.8,412.87,650.83,522.92,359.21,665.2,521.37,467.43,692.27
"2008-01-01 00:00:00",,,,548.39,444.9,676.84,530.44,394.33,653.56,504.97,423.37,752.65
"2009-01-01 00:00:00",,,,578.63,464,723.82,493.7,378.68,658.62,537.1,380.1,675.11
"2010-01-01 00:00:00",,,,550.74,455.14,656.08,548.04,461.06,675.97,539.44,403,637.27
"2011-01-01 00:00:00",,,,510.2,419.6,669.29,517.02,421.1,665.02,567.49,453.02,760.6
"2012-01-01 00:00:00",,,,525.4,391.4,687.75,517.08,410.26,618.24,562.12,418.99,697.65
"2013-01-01 00:00:00",,,,584.94,439.39,681.11,541.36,402.81,670.1,576.84,430.56,687.32
"2014-01-01 00:00:00",,,,557.05,415.1,790.73,552.2,427.53,685.4,539.42,369.93,635.73
"2015-01-01 00:00:00",,,,505.76,382.23,585.41,544.83,430.75,664.85,538.9,446.97,639.99
"2016-01-01 00:00:00",,,,490.14,403.51,611.78,548.42,424.9,713.92,554.44,428.45,685.87
"2017-01-01 00:00:00",,,,523.08,404.81,652.25,508.86,429.78,629.66,531.53,350.97,753.46
"2018-01-01 00:00:00",,,,511.3,389.48,691.79,537.36,407.33,665.61,551.18,418.25,659.37
"2019-01-01 00:00:00",,,,533.03,407.98,639.28,528.8,446.62,721.78,523.66,397.03,622.65
"2020-01-01 00:00:00",,,,485.14,389.57,656.86,524.17,438.22,689.58,532.46,413.71,762.42
"2021-01-01 00:00:00",,,,494.55,384.69,627.17,520.35,406.99,659.48,519.74,404.91,655.27
"2022-01-01 00:00:00",,,,540.18,436.64,745.4,521.76,396.48,687.08,469.94,394.55,679.99
"2023-01-01 00:00:00",,,,524.75,459.34,659.21,571.65,444.91,681.42,529.88,379.04,699.22
"2024-01-01 00:00:00",,,,502.38,348.08,643.54,551.34,418.29,686.03,546.01,386.47,687.58
"2025-01-01 00:00:00",,,,553.37,451.15,672.22,517.88,407.24,635.3,540.23,422.1,695.37
"2026-01-01 00:00:00",,,,537.21,436.58,637.5,524.82,419.52,682.84,555.07,446.66,699.81
"2027-01-01 00:00:00",,,,556.88,417.14,683.99,554.48,462.7,675.2,546.21,452.34,656.05
"2028-01-01 00:00:00",,,,508.62,390.35,714.09,551.31,383.9,712.24,539.05,445.67,737.7
"2029-01-01 00:00:00",,,,482.49,357.04,693.88,582.45,406.34,698.4,536.27,479.86,687.05
"2030-01-01 00:00:00",,,,499.21,380.2,613.65,518.14,415.86,641.29,548.88,436.81,667.49
"2031-01-01 00:00:00",,,,527.53,435.41,641.42,612.35,439.1,745.03,554.41,421.61,707.12
"2032-01-01 00:00:00",,,,563.92,462.91,694.53,585.43,460.02,792.61,535.33,441.11,681.72
"2033-01-01 00:00:00",,,,550.81,392.28,710.58,549.42,449.81,652.78,543.27,430.51,680.7
"2034-01-01 00:00:00",,,,520.89,397.76,618.07,502.38,386.82,606.01,541.57,404.04,695.74
"2035-01-01 00:00:00",,,,538.76,420.91,727.33,563.05,455.99,702.92,532.62,354.65,701.2
"2036-01-01 00:00:00",,,,562.31,445.08,705.19,546.7,401.61,741.45,580.11,459.56,770.01
"2037-01-01 00:00:00",,,,576.11,439.65,661.27,517.64,408.34,674.38,581.64,428.16,693.88
"2038-01-01 00:00:00",,,,561.17,429.4,664.91,596.62,456.75,752.45,533.18,441.17,654.12
"2039-01-01 00:00:00",,,,554.91,465.2,654.02,540.97,430.24,625.89,523.2,424.66,670.98
"2040-01-01 00:00:00",,,,559.86,477.33,731.26,567.99,458.03,726.42,578.21,384.75,692.5
"2041-01-01 00:00:00",,,,532.1,415.85,717.7,566.95,445.79,658.15,521.9,446.48,648.09
"2042-01-01 00:00:00",,,,602.73,411.72,728.45,505.82,392.94,635,536.02,454.12,703.52
"2043-01-01 00:00:00",,,,585.68,433.71,719,554.76,440.99,694.37,579.39,421.4,706.34
"2044-01-01 00:00:00",,,,552.54,394.56,675.9,545.62,467,654.81,597.82,520.99,725.57
"2045-01-01 00:00:00",,,,549.99,438.99,657.35,531.66,426.8,698.96,566.93,484.2,732.51
"2046-01-01 00:00:00",,,,540.42,451.32,650.56,553.8,432.15,688.11,548.44,431.62,763.33
"2047-01-01 00:00:00",,,,528.25,351,686.05,544.31,398.05,772.32,570.42,428.05,723.69
"2048-01-01 00:00:00",,,,548.32,459.14,704.3,520.42,430.58,656.22,600.7,429.83,704.41
"2049-01-01 00:00:00",,,,536.17,377.38,723.05,543.44,467.69,692.14,538.44,393.88,749.77
"2050-01-01 00:00:00",,,,539.92,431.98,698.63,561,452.38,744.37,572.94,443.61,710.58
"2051-01-01 00:00:00",,,,517.47,444.83,695.7,569.27,437.31,746.26,546.06,434.94,666.51
"2052-01-01 00:00:00",,,,525.01,378.19,714.51,547.09,465.06,725.89,567.89,400.2,687.36
"2053-01-01 00:00:00",,,,535.76,440.98,670.6,596.88,474.78,700.38,467.61,388.44,632.14
"2054-01-01 00:00:00",,,,505.4,418.44,636.26,566.07,446.11,664.69,578.96,440.17,669.77
"2055-01-01 00:00:00",,,,602.01,428.7,724.66,564.6,452.63,728.9,539.17,445.62,699.57
"2056-01-01 00:00:00",,,,515.44,453.38,658.13,546.78,488.16,682,563.31,488.54,666.51
"2057-01-01 00:00:00",,,,546.29,426.21,712.82,523.13,346.28,672.71,493.21,363.08,646.91
"2058-01-01 00:00:00",,,,541.94,415.4,677.9,529.64,368.86,652.72,560.39,452.08,693.45
"2059-01-01 00:00:00",,,,535.57,408.64,683.19,551.25,371.21,731.34,579.82,436.11,697.57
"2060-01-01 00:00:00",,,,520.04,415.27,662.2,518.72,398.99,676.96,540.37,442.11,741
"2061-01-01 00:00:00",,,,525.87,374,678.04,593.53,421.55,695.2,536.79,461.28,681.92
"2062-01-01 00:00:00",,,,562.68,450.49,666.11,545.23,443.05,691.27,570.57,476.34,692.51
"2063-01-01 00:00:00",,,,595,510.58,773.45,543.36,436.1,683.57,598.86,453.04,703.82
"2064-01-01 00:00:00",,,,539.11,413.77,666.35,593.09,433.75,771.1,547.32,456.56,738.47
"2065-01-01 00:00:00",,,,564.91,415.84,726.32,574.4,417.95,716.48,554.31,430.34,663.77
"2066-01-01 00:00:00",,,,547.11,431.35,695.93,560.62,424.04,712.79,559.74,404.92,674.83
"2067-01-01 00:00:00",,,,541.2,450.67,708.19,535.08,459.4,743.58,544.99,394.01,662.72
"2068-01-01 00:00:00",,,,562.44,380.05,668.41,614.96,434.91,676.74,585.22,456.82,786.47
"2069-01-01 00:00:00",,,,552.2,386.47,816.86,560.72,420.26,703.11,529.72,384.15,707.59
"2070-01-01 00:00:00",,,,516.56,434.25,643.2,551.57,404.89,689.37,568.08,380.3,727.78
"2071-01-01 00:00:00",,,,553.15,477.66,807.78,559.28,445.12,660.67,547.28,421.81,662.47
"2072-01-01 00:00:00",,,,569.96,428.81,728.96,585.84,430.96,751.28,518.46,431.21,725.65
"2073-01-01 00:00:00",,,,541.22,401.59,754.54,523.19,409.44,730.56,558.04,432.99,697.91
"2074-01-01 00:00:00",,,,582.72,369.94,715.95,529.42,409.08,675.54,573.66,446.42,734.92
"2075-01-01 00:00:00",,,,562.79,428.17,733.41,551.19,361.81,693.17,563.68,442.86,735.57
"2076-01-01 00:00:00",,,,511.34,376.61,614.97,494.63,361.81,678.51,530.75,405.51,640.17
"2077-01-01 00:00:00",,,,568.76,404.01,664.61,511.2,412.74,673.65,582.66,445.7,704.76
"2078-01-01 00:00:00",,,,539.19,427.25,754.24,540.08,377.85,731.61,569.9,457.83,670.76
"2079-01-01 00:00:00",,,,550.24,452.74,636.12,565.44,432.68,737.08,625.78,459.91,774.05
"2080-01-01 00:00:00",,,,518.91,408.78,617.87,565.64,423.54,661.25,557.82,446.35,665.9
"2081-01-01 00:00:00",,,,511.75,356.31,692.13,601.48,446.97,746.96,520.76,426.08,706.29
"2082-01-01 00:00:00",,,,527.76,451.15,673.78,611.65,481.12,752.38,573.49,425.38,684.44
"2083-01-01 00:00:00",,,,558.53,429.38,680.6,536.53,435.71,666.76,604,492.96,705.97
"2084-01-01 00:00:00",,,,552.45,417.83,766.61,544.33,413.47,752.03,613.41,445.68,749.25
"2085-01-01 00:00:00",,,,519.63,416.95,602.55,546.14,427.67,723.47,556.88,440.4,792.28
"2086-01-01 00:00:00",,,,525.4,356.87,645.23,578.01,395.42,661.46,512.04,358.77,681.63
