"DateTime","Modeled Historical","Historical Range (low)","Historical Range (high)","RCP 2.6 Median","RCP 2.6 Range (low)","RCP 2.6 Range (high)","RCP 4.5 Median","RCP 4.5 Range (low)","RCP 4.5 Range (high)","RCP 8.5 Median","RCP 8.5 Range (low)","RCP 8.5 Range (high)"
"1950-01-01 00:00:00",298.29,240.23,356.33
"1951-01-01 00:00:00",297.13,262.6,333.54
"1952-01-01 00:00:00",299.39,231.7,356.97
"1953-01-01 00:00:00",296.85,244.03,362.68
"1954-01-01 00:00:00",285.93,220.71,339.69
"1955-01-01 00:00:00",278.05,237.6,350.56
"1956-01-01 00:00:00",284.44,244.67,346.36
"1957-01-01 00:00:00",292.35,225.77,339.99
"1958-01-01 00:00:00",308.72,241.67,368.17
"1959-01-01 00:00:00",276.04,224.57,371.02
"1960-01-01 00:00:00",293,246.43,344.89
"1961-01-01 00:00:00",288.98,241.99,353.05
"1962-01-01 00:00:00",313.11,238.24,339.66
"1963-01-01 00:00:00",289.17,239.47,355.96
"1964-01-01 00:00:00",255.07,188.38,336.58
"1965-01-01 00:00:00",295.8,243.28,366.96
"1966-01-01 00:00:00",304.7,236.25,362.65
"1967-01-01 00:00:00",272.15,212.26,334.85
"1968-01-01 00:00:00",288.8,239.36,340.68
"1969-01-01 00:00:00",279.13,232.06,331.7
"1970-01-01 00:00:00",264.65,218.64,334.87
"1971-01-01 00:00:00",298.16,249.75,391.46
"1972-01-01 00:00:00",289.57,243.05,360.46
"1973-01-01 00:00:00",271.83,241.33,317.28
"1974-01-01 00:00:00",277.27,234.34,317.72
"1975-01-01 00:00:00",273.16,216.81,377.8
"1976-01-01 00:00:00",270.93,214.93,322.56
"1977-01-01 00:00:00",302.58,236.9,324.09
"1978-01-01 00:00:00",273.12,241.65,326.82
"1979-01-01 00:00:00",272.21,238.91,338.64
"1980-01-01 00:00:00",293.69,232.95,356.18
"1981-01-01 00:00:00",280.48,224.67,324.33
"1982-01-01 00:00:00",285.69,223.37,334.28
"1983-01-01 00:00:00",276.8,244.5,362.16
"1984-01-01 00:00:00",294.2,246.14,366.69
"1985-01-01 00:00:00",281.97,232.63,323.48
"1986-01-01 00:00:00",286.44,231.18,358.89
"1987-01-01 00:00:00",286.93,224.81,345.24
"1988-01-01 00:00:00",288.32,237.45,314.55
"1989-01-01 00:00:00",290.69,237.95,360.02
"1990-01-01 00:00:00",288.11,239.45,340.43
"1991-01-01 00:00:00",302.89,256.43,400.69
"1992-01-01 00:00:00",276.2,248.32,344.1
"1993-01-01 00:00:00",299.66,241.46,351.64
"1994-01-01 00:00:00",275.09,219.19,324.56
"1995-01-01 00:00:00",292.5,234.34,356.73
"1996-01-01 00:00:00",290.05,221.78,324.66
"1997-01-01 00:00:00",289.14,250.97,347.44
"1998-01-01 00:00:00",290.47,235.77,376.51
"1999-01-01 00:00:00",294.72,237.56,355.19
"2000-01-01 00:00:00",271.31,242.1,313.26
"2001-01-01 00:00:00",298.71,230.76,393.83
"2002-01-01 00:00:00",310.49,258.18,377.41
"2003-01-01 00:00:00",306.59,242.42,369.36
"2004-01-01 00:00:00",303.99,276.1,346.78
"2005-01-01 00:00:00",290.21,238.49,339.94,290.21,238.49,339.94,291.13,241.48,338.58,293.75,241.92,340.83
"2006-01-01 00:00:00",,,,306.5,227.05,349.96,321.98,241.37,353.31,311.82,267.39,367.67
"2007-01-01 00:00:00",,,,304.14,270.52,361.11,301.49,266.82,373.24,295.97,235.77,379.96
"2008-01-01 00:00:00",,,,307.59,253.98,379.43,299.81,262.2,365.85,293.06,244.86,349.14
"2009-01-01 00:00:00",,,,337.71,250.78,422.75,316.67,253.47,367.05,263.93,207.25,329.08
"2010-01-01 00:00:00",,,,278.82,226.52,354.03,309.94,229.15,354.67,299.98,229.83,391.79
"2011-01-01 00:00:00",,,,317.26,217.28,356.9,296.52,230.11,377.22,307.37,232.11,375.16
"2012-01-01 00:00:00",,,,289,236.78,341.03,292.49,233.96,354.08,289.92,240.35,348.26
"2013-01-01 00:00:00",,,,298.96,257.01,376.68,302.78,228.52,398.16,321.11,232.38,389.73
"2014-01-01 00:00:00",,,,300.68,247.58,374.85,316.32,255.08,361.28,305.34,262.67,410.25
"2015-01-01 00:00:00",,,,319.68,255.27,379.6,292.95,250.92,375.14,296.72,254.49,360.42
"2016-01-01 00:00:00",,,,301.11,258.62,418.29,302.36,230.47,349.29,314.3,254.97,357.19
"2017-01-01 00:00:00",,,,322.43,256.53,378.04,290.36,231.51,368.66,323.43,263.28,361.5
"2018-01-01 00:00:00",,,,292.57,238.87,331.48,328.52,290.17,392.67,296.49,244.75,358.53
"2019-01-01 00:00:00",,,,284.21,218.96,342.51,276.37,229.11,389.25,303.54,242.08,385.34
"2020-01-01 00:00:00",,,,344.55,269.66,384.1,324.6,228.26,371.56,300.39,248.39,357.27
"2021-01-01 00:00:00",,,,313.14,238.8,401.83,306.39,259.62,360.74,299.64,242.51,379.84
"2022-01-01 00:00:00",,,,285.64,242.64,364.98,303.69,244.84,374.06,326.3,230.33,402.14
"2023-01-01 00:00:00",,,,298.82,241.06,376.98,325.28,252.06,413.12,298.66,246.36,369.71
"2024-01-01 00:00:00",,,,307.26,246.92,360.56,280.87,225.83,354.38,333.94,265.77,384.08
"2025-01-01 00:00:00",,,,286.95,242.99,370.64,299.49,247.93,371.99,313.37,258.6,360.17
"2026-01-01 00:00:00",,,,289.27,233.72,372.08,319.72,270.42,397.82,308.44,269.87,367.35
"2027-01-01 00:00:00",,,,318.76,246.67,414.97,307.23,264.26,411.51,312.99,237.57,392.51
"2028-01-01 00:00:00",,,,317.98,244.41,408.56,292.17,232.7,397.64,310.83,240,398.83
"2029-01-01 00:00:00",,,,313.18,264.6,401.38,299.7,264.97,369.52,311.89,241.68,388.72
"2030-01-01 00:00:00",,,,313.94,245.43,387.58,316.04,234.94,407,324.98,252.96,394.59
"2031-01-01 00:00:00",,,,334.23,278.99,409.39,302.11,234.59,387.68,319.33,273.17,389.54
"2032-01-01 00:00:00",,,,285.85,222.01,366.54,282.38,239.72,412.97,328.62,277.37,395.48
"2033-01-01 00:00:00",,,,307.41,264.53,340.97,328.84,298.5,400.8,318.62,267.12,381.26
"2034-01-01 00:00:00",,,,319.73,255.1,377.89,306.15,273.03,356.35,306.52,262.81,413.64
"2035-01-01 00:00:00",,,,295.06,257.74,364.23,322.99,261.35,374.92,314.8,253.42,383.89
"2036-01-01 00:00:00",,,,315.47,267.53,382.65,297.9,252.14,383.81,297.04,250.18,409.54
"2037-01-01 00:00:00",,,,317.16,245.79,430.53,319.47,248.68,360.88,355.34,308.92,386.57
"2038-01-01 00:00:00",,,,294.28,234.17,351.81,332.46,256.05,376.35,340.91,267.23,432.17
"2039-01-01 00:00:00",,,,297.87,275.18,397.86,327.41,267.06,367.71,335.38,270.69,440.43
"2040-01-01 00:00:00",,,,328.02,250.08,402.98,340.51,261.1,376.92,318.06,244.53,414.49
"2041-01-01 00:00:00",,,,324.95,247.33,406.47,319.54,262.47,347.5,293.43,260.3,362.87
"2042-01-01 00:00:00",,,,306.08,247.17,399.3,307.84,234.64,405.72,326.36,276.61,385.36
