################################################################################################
# Zemp et al. (2019), Supplementary Data Table                                                 #
#                                                                                              #
# Global glacier mass changes from 1961 to 2016                                                #
#                                                                                              #
# Year: hydrological year                                                                      #
# Area_AW_ref_km2: regional area (km2) based on RGI60 and area-weighted change rate            #
# dM_INT_Gt: global mass change (Gt yr-1) based on spatial interpolation                       #
# sig_Glac_Gt: uncertainty related to glaciological variability (Gt yr-1)                      #
# sig_Geod_Gt: uncertainty related to geodetic value (Gt yr-1)                                 #
# sig_Int_Gt: uncertainty related to regional interpolation (Gt yr-1)                          #
# sig_Area_Gt: uncertainty related to regional glacier area (Gt yr-1)                          #
# sig_Crossed_Gt: 2nd order crossed uncertainty (Gt yr-1)                                      #
# sig_Total_Gt: Total uncertainty of regional mass change (Gt yr-1)                            #
# dM_INT_SLE: global mass change in equivalents of mean global sea-level rise (mm SLE yr-1)    #
# sig_Total_SLE: Total uncertainty in equivalents of mean global sea-level rise (mm SLE yr-1)  #
#                                                                                              #
################################################################################################

Year, Area_AW_ref_km2, INT_Gt, sig_Glac_Gt, sig_Geod_Gt, sig_Int_Gt, sig_Area_Gt, sig_Crossed_Gt, sig_Total_Gt, INT_SLE, sig_Total_SLE
1962, 763967, -218, 275, 148, 61, 11, 24, 319, 0.601, 0.88
1963, 763386, -44, 275, 148, 61, 6, 23, 319, 0.121, 0.88
1964, 762684, 71, 275, 148, 61, 5, 23, 319, -0.196, 0.88
1965, 761982, -21, 274, 148, 61, 5, 22, 318, 0.058, 0.877
1966, 761280, -97, 272, 148, 61, 7, 21, 316, 0.268, 0.872
1967, 760578, -53, 271, 148, 61, 8, 21, 316, 0.146, 0.872
1968, 759876, -116, 271, 148, 61, 6, 20, 316, 0.32, 0.872
1969, 759174, -165, 185, 148, 61, 7, 17, 245, 0.455, 0.676
1970, 758375, -148, 176, 148, 60, 6, 17, 239, 0.408, 0.659
1971, 757576, -155, 167, 148, 60, 5, 16, 232, 0.428, 0.64
1972, 756778, -115, 163, 148, 60, 7, 16, 229, 0.317, 0.632
1973, 755979, -59, 159, 148, 60, 3, 16, 226, 0.163, 0.623
1974, 755140, -149, 154, 148, 60, 5, 15, 222, 0.411, 0.612
1975, 754233, -35, 162, 148, 60, 3, 15, 228, 0.097, 0.629
1976, 752966, -45, 135, 148, 60, 4, 13, 209, 0.124, 0.577
1977, 751700, -181, 136, 147, 60, 7, 13, 210, 0.499, 0.579
1978, 750433, -155, 130, 147, 60, 5, 12, 205, 0.428, 0.566
1979, 749061, -164, 131, 147, 60, 12, 12, 206, 0.452, 0.568
1980, 747688, -87, 131, 146, 60, 5, 12, 206, 0.24, 0.568
1981, 746316, -68, 121, 146, 60, 4, 11, 199, 0.188, 0.549
1982, 744944, -114, 143, 146, 60, 7, 12, 213, 0.314, 0.588
1983, 743543, 84, 181, 146, 60, 7, 13, 241, -0.232, 0.665
1984, 742143, -92, 126, 145, 59, 4, 11, 202, 0.254, 0.557
1985, 740743, -111, 125, 145, 59, 8, 11, 201, 0.306, 0.554
1986, 739343, -96, 133, 145, 59, 5, 11, 206, 0.265, 0.568
1987, 737207, 9, 130, 144, 59, 4, 11, 204, -0.025, 0.563
1988, 735071, -23, 145, 144, 59, 4, 11, 213, 0.063, 0.588
1989, 732935, -116, 123, 144, 59, 10, 11, 199, 0.32, 0.549
1990, 730800, -207, 121, 144, 59, 9, 10, 197, 0.571, 0.543
1991, 728523, -130, 122, 143, 59, 6, 10, 198, 0.359, 0.546
1992, 726245, -28, 137, 143, 58, 7, 11, 207, 0.077, 0.571
1993, 723968, -208, 121, 143, 58, 10, 10, 196, 0.574, 0.541
1994, 721691, -180, 116, 143, 58, 7, 10, 193, 0.497, 0.532
1995, 719414, -262, 115, 142, 58, 9, 10, 193, 0.723, 0.532
1996, 717137, -156, 118, 142, 58, 5, 10, 194, 0.43, 0.535
1997, 714860, -340, 128, 142, 58, 9, 10, 200, 0.938, 0.552
1998, 712583, -262, 123, 141, 58, 8, 10, 197, 0.723, 0.543
1999, 710306, -279, 134, 141, 57, 5, 10, 203, 0.77, 0.56
2000, 708029, -147, 115, 141, 57, 3, 10, 191, 0.406, 0.527
2001, 705751, -188, 120, 141, 57, 4, 10, 194, 0.519, 0.535
2002, 703474, -216, 110, 140, 57, 5, 10, 187, 0.596, 0.516
2003, 701197, -287, 110, 140, 57, 6, 10, 187, 0.792, 0.516
2004, 698920, -333, 111, 140, 57, 8, 10, 187, 0.919, 0.516
2005, 696643, -332, 110, 139, 56, 7, 10, 187, 0.916, 0.516
2006, 694366, -317, 111, 139, 56, 6, 10, 187, 0.874, 0.516
2007, 692089, -303, 111, 139, 56, 6, 10, 187, 0.836, 0.516
2008, 689812, -244, 108, 139, 56, 5, 10, 185, 0.673, 0.51
2009, 687535, -316, 107, 138, 56, 7, 10, 184, 0.872, 0.508
2010, 685258, -298, 107, 138, 56, 6, 10, 184, 0.822, 0.508
2011, 682980, -415, 108, 138, 56, 8, 10, 184, 1.145, 0.508
2012, 680703, -304, 112, 137, 55, 7, 10, 186, 0.839, 0.513
2013, 678426, -355, 111, 137, 55, 8, 10, 186, 0.979, 0.513
2014, 676149, -290, 119, 137, 55, 7, 10, 190, 0.8, 0.524
2015, 673872, -397, 125, 137, 55, 9, 11, 194, 1.095, 0.535
2016, 671595, -400, 156, 136, 55, 9, 12, 215, 1.103, 0.593
